PROFILE_SEARCH_CONTACT_TITLE	Chercher un contact :
DRAGONSOUL_TITLE	Alchimie des pierres dragons
DUTCHAUCTION_BUTTON	Go!
DUTCHAUCTION_TITLE	Enchere flash
EMPIRE_EXIT	Quitter
EMPIRE_NEXT	Suivant
EMPIRE_PREV	Retour
EMPIRE_SELECT	Choisir
END_TIME	Event actif
ENTER_BATTLE_FIELD	Entrer
EVENT_ALARM_TITLE	Apercu de l'event
EVENT_NAME_TITLE	Nom
EVENT_REWARD_TITLE	Recompense
EXCHANGE_ACCEPT	OK
EXCHANGE_TITLE	Echange
EXIT_BATTLE_FIELD	Veux tu vraiment quitter la zone de combat ?
EXIT_BATTLE_FIELD_ON_DEAD	Veux tu vraiment quitter la zone de combat avec %d point(s)?
EXPIRED_TIME	L'evenement est termine.
FRAGMENT_COMB_TITLE	Combiner les livres de competence
GAMEOPTION_TITLE	Options de jeu
GAME_EXIT_OBSERVER	Quitter le mode spectateur
GAME_GUILD_WAR_JOIN	Participer a la guerre de guilde
GAME_HELP	Aide
GAME_QUEST	taches
GAME_SKILL_UP	Monter les sorts
GAME_STAT_UP	Monter les caracteristiques
GEMSHOP_LEFTTIME	Temps restant
GEMSHOP_TITLA	Marche Gaya
GRADE	Classe
GRADE_SELECT	Classe
GRAPHICONOFF_DROP_ITEM_APPLY	Appliquer
GRAPHICONOFF_DROP_ITEM_LEVEL	Drop d'objets
GRAPHICONOFF_DROP_ITEM_LEVEL1	1
GRAPHICONOFF_DROP_ITEM_LEVEL1_TOOLTIP	SHOW effets et nom
GRAPHICONOFF_DROP_ITEM_LEVEL2	2
GRAPHICONOFF_DROP_ITEM_LEVEL2_TOOLTIP	Cacher les effets
GRAPHICONOFF_DROP_ITEM_LEVEL3	3
GRAPHICONOFF_DROP_ITEM_LEVEL3_TOOLTIP	Cacher les effets et noms
GRAPHICONOFF_DROP_ITEM_LEVEL4	4
GRAPHICONOFF_DROP_ITEM_LEVEL4_TOOLTIP	Cacher les objets et survoler pour voir
GRAPHICONOFF_DROP_ITEM_LEVEL5	5
GRAPHICONOFF_DROP_ITEM_LEVEL5_TOOLTIP	Cacher les objets et noms
GRAPHICONOFF_EFFECT_APPLY	Appliquer
GRAPHICONOFF_EFFECT_LEVEL	Effets
GRAPHICONOFF_EFFECT_LEVEL1	1
GRAPHICONOFF_EFFECT_LEVEL1_TOOLTIP	Tout afficher
GRAPHICONOFF_EFFECT_LEVEL2	2
GRAPHICONOFF_EFFECT_LEVEL2_TOOLTIP	Seulement personnel et les monstres
GRAPHICONOFF_EFFECT_LEVEL3	3
GRAPHICONOFF_EFFECT_LEVEL3_TOOLTIP	Seulement personnel et ceux des autres
GRAPHICONOFF_EFFECT_LEVEL4	4
GRAPHICONOFF_EFFECT_LEVEL4_TOOLTIP	Seulement personnel
GRAPHICONOFF_EFFECT_LEVEL5	5
GRAPHICONOFF_EFFECT_LEVEL5_TOOLTIP	all cacher
GRAPHICONOFF_NPC_NAME_STATUS	Noms de PNJ
GRAPHICONOFF_NPC_NAME_STATUS_OFF	Activer
GRAPHICONOFF_NPC_NAME_STATUS_OFF_TOOLTIP	Cacher les noms de PNJ
GRAPHICONOFF_NPC_NAME_STATUS_ON	Desactiver
GRAPHICONOFF_NPC_NAME_STATUS_ON_TOOLTIP	Afficher les noms de PNJ
GRAPHICONOFF_PET_STATUS	Familiers
GRAPHICONOFF_PET_STATUS_OFF	Desactiver
GRAPHICONOFF_PET_STATUS_OFF_TOOLTIP	Cacher les familiers
GRAPHICONOFF_PET_STATUS_ON	Activer
GRAPHICONOFF_PET_STATUS_ON_TOOLTIP	Afficher les familiers
GRAPHICONOFF_PRIVATE_SHOP_APPLY	Appliquer
GRAPHICONOFF_PRIVATE_SHOP_LEVEL	Magasins prives
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1	1
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1_TOOLTIP	Afficher tout
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2	2
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2_TOOLTIP	Tout afficher dans un champ large
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3	3
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3_TOOLTIP	Tout afficher dans un champ moyen
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4	4
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4_TOOLTIP	Tout afficher dans un champ court
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5	5
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5_TOOLTIP	Tout afficher dans la vue immediate
GUILDWINDOW_BASE_BUFF	Bonus de guilde
GUILD_BANKINFO_CLOSE	Fermer
GUILD_BANKINFO_NAME	Membre
GUILD_BANKINFO_TITLE	Journal d'entrepot de guilde
GUILD_BANKINFO_TYPE	Objet/monnaie
GUILD_BANKINFO_USETYPE	Action
GUILD_BANK_CLOSE	Fermer
GUILD_BANK_INFO	Page de boutique
GUILD_BANK_NUMBER	Nombre de banque
GUILD_BASEINFO_BANK	entrepot de guilde
GUILD_BASEINFO_BANKLASall Dernier objet enleve
GUILD_BASEINFO_BUILDING	batiment de guilde
GUILD_BASEINFO_DEAL	Sell Territoire de guilde
GUILD_BASEINFO_FACTORY	Forgeron de guilde
GUILD_BASEINFO_GOLDMANAGE	Transactions
GUILD_BASEINFO_GUILDLAND	Territoire de guilde
GUILD_BASEINFO_LANDABANDON	Dissoudre le territoire de guilde
GUILD_BASEINFO_LANDSCAPE	Autre
GUILD_BASEINFO_LOCALE	Emplacement
GUILD_BASEINFO_MONEY	Solde
GUILD_BASEINFO_MONEYBANKINFO	Information de banque de guilde
GUILD_BASEINFO_MONEYIN	Deposer
GUILD_BASEINFO_MONEYLASall	Dernier retrait
GUILD_BASEINFO_MONEYOUT	Retrait
GUILD_BASEINFO_POWER	Altar de puissance
GUILD_BASEINFO_SMEITER	Alchimiste de guilde
GUILD_BASEINFO_TITLE	Information de territoire
GUILD_BASEINFO_VOTE	Voter
GUILD_BASENAME	Nom de la base
GUILD_BOARD_ID	Nom
GUILD_BOARD_REFRESH	Rafraichir
GUILD_BOARD_TEXT	Message
GUILD_BUILDING_CATEGORY_TITLE	Unites de construction
GUILD_BUILDING_CHANGE	Changer
GUILD_BUILDING_CHANGE_DELETE	Supprimer
GUILD_BUILDING_CHANGE_FIX	Reconstruction de guilde
GUILD_BUILDING_CHANGE_LIST	Liste de proprietes de guilde
GUILD_BUILDING_DIRECTION	Orientation
GUILD_BUILDING_FIX	Reconstruction
GUILD_BUILDING_GRADE	Rang
GUILD_BUILDING_INFO	Information des prix et batiments
GUILD_BUILDING_LIST_TITLE	Liste de batiments
GUILD_BUILDING_LOG	Tronc
GUILD_BUILDING_NAME	Nom de batiments
GUILD_BUILDING_OPERATE	Operer
GUILD_BUILDING_PLY	Contreplaque
GUILD_BUILDING_POSITION	Position
GUILD_BUILDING_PREVIEW	Previsualisation
GUILD_BUILDING_PRICE	Prix
GUILD_BUILDING_REFRESH	Rafraichir
GUILD_BUILDING_STONE	Pierre
GUILD_BUILDING_TITLE	Construction de maison de guilde
GUILD_CRYSTAL	Crystal
GUILD_DEPOSIT	Depot
GUILD_DRAGONLAIR_RANKING	Classement
GUILD_DRAGONLAIR_RANKING_COUNT	Rang
GUILD_DRAGONLAIR_RANKING_MEMBER	Membre
GUILD_DRAGONLAIR_RANKING_NAME	Guilde
GUILD_DRAGONLAIR_RANKING_TIME	Temps
GUILD_DROP_RESOURCE1	Ici
GUILD_DROP_RESOURCE2	Lacher ressource
GUILD_GEM	Gemme
GUILD_GRADE_CHANGE_GRADE_NAME	Nouveau nom de rang
GUILD_GRADE_NUM	Num.
GUILD_GRADE_PERMISSION_BANK	Peut utiliser la banque et entrepot de guilde
GUILD_GRADE_PERMISSION_DELETE	Enlever de la guilde
GUILD_GRADE_PERMISSION_JOIN	May Accepter des joueurs dans la guilde
GUILD_GRADE_PERMISSION_NOTICE	Peut composer des messages de guilde
GUILD_GRADE_PERMISSION_SKILL	Sorts de guildes
GUILD_GRADE_PERMISSION_WAR	Peut selectionner des membres en tant que combattant
GUILD_GRADE_RANK	Rang
GUILD_GRADE_WRITE	Ecrire
GUILD_INFO	Information de la guilde
GUILD_INFO_CUR_EXP	Experience
GUILD_INFO_DECALRE_WAR	Declarer la guerre
GUILD_INFO_ENEMY_GUILD	Guilde ennemie
GUILD_INFO_ENEMY_GUILD_EMPTY	rien
GUILD_INFO_LEVEL	Niveau de guilde
GUILD_INFO_MARK	Signe de guilde
GUILD_INFO_MASTER	Leader
GUILD_INFO_MASTER_VALUE	Leader
GUILD_INFO_MEMBER_AVG_LEVEL	Niveau moyen
GUILD_INFO_MEMBER_NUM	Num. de membres
GUILD_INFO_NAME	Nom de guilde
GUILD_INFO_NAME_VALUE	Ceci est un nom de guilde
GUILD_INFO_OFFER_EXP	Investissement
GUILD_INFO_REST_EXP	Exp. necessaire
GUILD_INFO_UPLOAD_MARK	Telecharger un signe
GUILD_INFO_UPLOAD_SYMBOL	Telecharger un drapeau
GUILD_LANDDEAL_VOTE	Vendre un territoire de guilde
GUILD_LANDDEAL_VOTE_DEALGOLD	Prix en Yang :
GUILD_LANDDEAL_VOTE_DEALGUILDNAME	Nom de guilde :
GUILD_MARK	Signe de guilde
GUILD_MASTER_CHANGE_TITLEBAR	Abandonner la direction de guilde
GUILD_MEMBER_JOB	Classe
GUILD_MEMBER_KNIGHT	Combattant
GUILD_MEMBER_LEVEL	Niveau
GUILD_MEMBER_NAME	Nom
GUILD_MEMBER_OUT_TITLEBAR	Enlever le membre
GUILD_MEMBER_RANK	Rang
GUILD_MEMBER_SPECIFIC_GRAVITY	Investit
GUILD_MEMBER_VOTE_CHECK	Regarder les votes
GUILD_METIN_STONE	Pierre d'esprit
GUILD_MINENAL	Mineraux
GUILD_MONEY	Yang
GUILD_NAME	Guilde
GUILD_RESOURCE_INFO	Informations des ressources
GUILD_SKILLPAGE_LADDER	Points de rangs
GUILD_SKILLPAGE_RANK	Rang
GUILD_SKILL_ACTIVE	Actif
GUILD_SKIlL_HEAL_GSP	Regagner du pouvoir
GUILD_SKILL_PASSIVE	Passif
GUILD_SKILL_POWER	Energie
GUILD_SKILL_STATE	Sorts de la guilde
GUILD_SYMBOL	Drapeau de guilde
GUILD_WAR_ACCEPT	Accepter la declaration de guerre
GUILD_WAR_allSCORE	all guerre
GUILD_WAR_BATTLE_TYPE	Type de bataille
GUILD_WAR_CTF	Drapeau
GUILD_WAR_DECLARE	Declarer war
GUILD_WAR_ENEMY	Ennemi
GUILD_WAR_GAINSCORE	Points
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	Temps de combat
GUILD_WAR_GAMETIME_SIXTY	60 min.
GUILD_WAR_GAMETIME_TEN	10 min.
GUILD_WAR_GAMETIME_THIRTY	30 min.
GUILD_WAR_JOINMEMBER	Membres
GUILD_WAR_JOINMEMBER_COUNT	Membres
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	Champ
GUILD_WAR_REPORT	Rapport de bataille
GUILD_WAR_REPORTLIST	 Apercu (Battailles: B, Victoires: W, Defaites: L, Egalite: D)
GUILD_WAR_SCORE	Rapport de bataille
GUILD_WAR_SKILL	Sorts de guilde
GUILD_WAR_TYPE_DEFENSE	Bouclier de bataille
GUILD_WAR_TYPE_DIE	Bataille d'arene
GUILD_WAR_TYPE_FLAG	Capturer le drapeau
GUILD_WAR_TYPE_NORMAL	Champ de bataille
GUILD_WAR_TYPE_TIGER	Annihilation
GUILD_WAR_TYPE_TIME	Time Attaque
GUILD_WAR_WARP	Arene
GUILD_WAR_WIN	Tours
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	Eau
GUILD_WATER_STONE	Pierre d'eau
GUILD_WITHDRAW	Prendre
HELP_ATTACK	Active les attaques par clic.
HELP_ATTACK_KEY	Attaque : clic gauche ou barre d'espace
HELP_AUTO_ATTACK	Active les attaques automatiques par clic
HELP_CAMERA	Vue de camera
HELP_CHANGE_PK_MODE	Change le mode d'attaque : change les options du clic droit
HELP_CHARACTER_BUTTON1	(Fenetre de personnage, Fenetre d'inventaire,
HELP_CHARACTER_BUTTON2	Liste d'amis et d'options)
HELP_CHAT	Pour parler a un groupe specifique, mettez avant votre message: !(General), #(groupe) or %(guilde).
HELP_CLICK_OTHER_PLAYER	Clic-droit sur un autre joueur pour echanger, former un groupe, ou defier.
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Vue de base : clic molette
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Vue alternative: assigner au clic gauche ou droit
HELP_EMOTINO	Exprimez vos sentiments avec les combinaisons de touche : <CTRL> + <1~9>.
HELP_EXP	Experience
HELP_FURY	Itemshop en jeu
HELP_GUILD_WINDOW	Ouvrir la fenetre de guilde: Alt + G
HELP_HELP	Remettre cette fenetre : H
HELP_HELP_KEY	Les options de base sont affichees sur cette fenettre.
HELP_HP	Points de vie(HP ou PV)
HELP_KEYSETTING	Tu peux changer les raccourcis dans les options.
HELP_MESSENGER_WINDOW	Ouvrir la liste d'amis: Alt + M
HELP_MINIMAP	Affiche la mini-carte.
HELP_MINIMAP_QUEST	Les missions sont affichees clignotant sur la mini-carte.
HELP_MOUSE_LEFT	Fonction du clic gauche
HELP_MOUSE_RIGHT	Fonction du clic droit
HELP_MOVE_KEY	Directions: W, A, S, D ou fleches ( Z Q S D Azerty).
HELP_OFF_QUESTSCROLL	Affiche/cache les quetes avec : <CTRL> + Q.
HELP_OPEN_CHARACTER	Ouvrir la fenetre de personnage : C
HELP_OPEN_CHAT	Ouvrir le tchat : Enter
HELP_OPEN_INVENTORY	Ouvrir l'inventaire : I
HELP_OPEN_LOG	Ouvrir les logs de tchat : L
HELP_OPEN_MINIMAP	Ouvrir la mini-map: Shift + M
HELP_OPEN_QUEST	Ouvrir la fenetre des taches : N
HELP_OPEN_SKILL	Ouvrir la fenetre des sorts : V
HELP_OPEN_WHISPER	Ouvrir la fenetre des MP : Shift + Enter
HELP_OPEN_ZONEMAP	Ouvrir la grande carte : M
HELP_PICK_ITEM	Collecter les objets : ` ou W(Z) ou clic gauche
HELP_QUICKSLOT	Barre des raccourcis
HELP_SCREEN_CAPTURE	Sauvergarder un screenshot : Print (Va etre sauvegarde dans : "Elendos\screenshot")
HELP_SERVER	Affiche les serveurs et les channels.
HELP_SHOW_ALL_NAME	Montre les noms: Alt
HELP_SKILL	Tu peux utiliser un sort avec le clic droit.
HELP_SP	Points de sorts. (SP)
HELP_SYSTEM_BUTTON	Bouttons systeme
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1er Inventaire
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2eme Inventaire
INVENTORY_PAGE_BUTTON_TOOLTIP_3	3eme Inventaire
INVENTORY_PAGE_BUTTON_TOOLTIP_4	4eme Inventaire
INVENTORY_TITLE	Inventaire
ITEM_MALL	Item Shop
KEYCHANGE_ACTION_WINDOW	Actions
KEYCHANGE_ATTACK	Attaquer
KEYCHANGE_AUTORUN	Autorun
KEYCHANGE_AUTO_WINDOW	Chasse-Automatique
KEYCHANGE_BASEACTION	Touches standardes
KEYCHANGE_CAM_DOWN1	Camera (bas)
KEYCHANGE_CAM_DOWN2	Camera (bas)
KEYCHANGE_CAM_LEFT1	Camera (gauche)
KEYCHANGE_CAM_LEFT2	Camera (gauche)
KEYCHANGE_CAM_RIGHT1	Camera (droite)
KEYCHANGE_CAM_RIGHT2	Camera (droite)
KEYCHANGE_CAM_UP1	Camera (haut)
KEYCHANGE_CAM_UP2	Camera (haut)
KEYCHANGE_CAM_ZOOM_IN1	Camera (zoom dedans)
KEYCHANGE_CAM_ZOOM_IN2	Camera (zoom dedans)
KEYCHANGE_CAM_ZOOM_OUT1	Camera (zoom dehors)
KEYCHANGE_CAM_ZOOM_OUT2	Camera (zoom dehors)
KEYCHANGE_CANCLE	Annuler
KEYCHANGE_CHAT_WINDOW	logs de tchat
KEYCHANGE_CLEAR	Standard
KEYCHANGE_DDS_WINDOW	DSS
KEYCHANGE_DOWN1	Retour en arriere
KEYCHANGE_DOWN2	Retour en arriere
KEYCHANGE_DSS1	DS [Ciel]
KEYCHANGE_DSS2	DS [Terre]
KEYCHANGE_EMOTION1	Emotion (Triste)
KEYCHANGE_EMOTION2	Emotion (Yang)
KEYCHANGE_EMOTION3	Emotion (Musique)
KEYCHANGE_EMOTION4	Emotion (Coeur)
KEYCHANGE_EMOTION5	Emotion (Coeurs)
KEYCHANGE_EMOTION6	Emotion (Bombe)
KEYCHANGE_EMOTION7	Emotion (Idee)
KEYCHANGE_EMOTION8	Emotion (Orage)
KEYCHANGE_EMOTION9	Emotion (Sorry)
KEYCHANGE_GUILD_WINDOW	Guilde
KEYCHANGE_HELP_WINDOW	Aide
KEYCHANGE_IMPOSSIBLE_CHANGE	[CTRL], [ALT], [SHIFT] ne sont pas autorises ici!
KEYCHANGE_INGAMEEVENT	Event
KEYCHANGE_INTERFACE	Fenetre
KEYCHANGE_INVENTORY_WINDOW	Inventaire
KEYCHANGE_KEY_SETTING	Options de clavier
KEYCHANGE_LEFT1	gauche
KEYCHANGE_LEFT2	gauche
KEYCHANGE_MESSENGER_WINDOW	Amis
KEYCHANGE_MINIMAP_MINER	Mini-carte (-)
KEYCHANGE_MINIMAP_PLUS	Mini-carte (+)
KEYCHANGE_MINIMAP_WINDOW	Grande carte
KEYCHANGE_MONSTER_CARD_WINDOW	Carte de monstre
KEYCHANGE_NEXT_TARGET	Cible suivante
KEYCHANGE_PARTY_MATCH_WINDOW	Recherche de groupe
KEYCHANGE_PET_WINDOW	Familier
KEYCHANGE_QUEST_SCROLL_ONOFF	Quetes
KEYCHANGE_QUEST_WINDOW	Quetes
KEYCHANGE_QUICKSLOT1	Niveau 1
KEYCHANGE_QUICKSLOT2	Niveau 2
KEYCHANGE_QUICKSLOT3	Niveau 3
KEYCHANGE_QUICKSLOT4	Niveau 4
KEYCHANGE_RIDE	Monture
KEYCHANGE_RIDE_BYE	Declasser
KEYCHANGE_RIDE_HORSE	Monture
KEYCHANGE_RIDE_PEED	Nourrire 
KEYCHANGE_RIGHT1	Droite
KEYCHANGE_RIGHT2	Droite
KEYCHANGE_ROOT1	Ramasser
KEYCHANGE_ROOT2	Ramasser
KEYCHANGE_SAVE	Sauvegarder
KEYCHANGE_SCREENSHOT	Screenshot
KEYCHANGE_SHOW_NAME	montrer les noms
KEYCHANGE_SKILL_WINDOW	Sorts
KEYCHANGE_SLOT1	Emplacement 1
KEYCHANGE_SLOT2	Emplacement 2
KEYCHANGE_SLOT3	Emplacement 3
KEYCHANGE_SLOT4	Emplacement 4
KEYCHANGE_SLOT5	Emplacement 5
KEYCHANGE_SLOT6	Emplacement 6
KEYCHANGE_SLOT7	Emplacement 7
KEYCHANGE_SLOT8	Emplacement 8
KEYCHANGE_SLOT_KET	Emplacement rapides
KEYCHANGE_STATUS_WINDOW	Personnage
KEYCHANGE_UP1	Avance
KEYCHANGE_UP2	Avance
LANGUAGE_AE	Arabe
LANGUAGE_CZ	Czech
LANGUAGE_DE	Allemand
LANGUAGE_DK	Danois
LANGUAGE_EN	Anglais
LANGUAGE_ES	Espagnol
LANGUAGE_FR	Francais
LANGUAGE_GR	Grec
LANGUAGE_HU	Hongrois
LANGUAGE_IT	Italien
LANGUAGE_NL	Neerlandais
LANGUAGE_PL	Polonais
LANGUAGE_PT	Portugais
LANGUAGE_RO	Roumain
LANGUAGE_RU	Russe
LANGUAGE_TR	Turque
LOAD_ERROR	Les fichiers sont endommages. Installez-en des nouveaux. Appuyez sur ESC.
LOGIN_CONNECT	Connection
LOGIN_CONNECTING	Vous allez etre connecte
LOGIN_DEFAULT_SERVERADDR	Nom du serveur, Canal 1
LOGIN_EXIT	Quitter
LOGIN_ID	Nom d'utilisateur
LOGIN_PASSWORD	Mot de passe
LOGIN_REGION_TITLE	Choisir endroit pour emmettre la facture.
LOGIN_SELECT_BUTTON	Choisir
LOGIN_SELECT_EXIT	Quitter
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Choisir le  serveur
LUCKY_BOX_NOTICE_YANG	Taxe de yang pour une nouvelle fortune
LUCKY_BOX_RECV_BUTTON	Accepter l'objet
LUCKY_BOX_RECV_NAME	Contenus :
LUCKY_BOX_RETRY_BUTTON	Nouvel objet de fortune
LUCKY_BOX_TITLE_NAME	Coffre de fortune
MAILBOX_POST_all_DELETE_BUTTON	Tout supprimer
MAILBOX_POST_all_RECEIVE	Tout recevoir
MAILBOX_POST_READ_BLOCK	Bloquer
MAILBOX_POST_READ_DELETE	Supprimer
MAILBOX_POST_READ_FROM	De
MAILBOX_POST_READ_MAIN_TITLE	Message
MAILBOX_POST_READ_RECV	Recevoir
MAILBOX_POST_READ_TITLE	Sujet
MAILBOX_POST_SEND_TITLE	Message
MAILBOX_POST_WRITE_BUTTON_TEXT	Envoyer
MAILBOX_POST_WRITE_CLOSE_TEXT	Fermer
MAILBOX_POST_WRITE_CONFIRM_TEXT	Regarder le destinataire
MAILBOX_POST_WRITE_SEND_TEXT	Envoyer
MAILBOX_POST_WRITE_TITLE	 Sujet
MAILBOX_POST_WRITE_TO	A
MAILBOX_TITLE	Boite de reception
MALL_PASSWORD_TITLE	Mot de passe
MALL_TITLE	Entrepot d'item shop
MARKET_TITLE	Charger
MARKLIST_REFRESH	Rafraichir
MARKLIST_TITLE	Enregistrer signe de guilde
