PROFILE_SEARCH_CONTACT_TITLE	Oyuncu Ara
BANNER_MYSTERY_BOX_BUTTON	HAZÝNE EVENTÝ I
BANNER_MYSTERY_BOX_BUTTON_2	HAZÝNE EVENTÝ II
BANNER_NEW_XMAS_BUTTON	NOEL ETKÝNLÝÐÝ
BANNER_OKEY_BUTTON	OKEY ETKÝNLÝÐÝ
BANNER_OLYMPIC_BUTTON	KAHRAMAN ETKÝNLÝÐÝ
BANNER_RAMADAN_BUTTON	RAMAZAN ETKÝNLÝÐÝ
BANNER_SOUL_BUTTON	RUH ETKÝNLÝÐÝ
BANNER_SUMMER_BUTTON	YAZ ETKÝNLÝÐÝ
BANNER_VALENTINE_BUTTON	SEVGÝLÝLER GÜNÜ ETKÝNLÝÐÝ
BANNER_YUTNORI_BUTTON	YUT NORI ETKÝNLÝÐÝ
BATTLE_FIELD_INFO	Savaþ Alaný
BATTLE_FIELD_OPERATION_TIME	Savaþ Alanýna girilebilir%s:00 ve %s:00.
BATTLE_FIELD_OPERATION_TIME_ALL	Þu anda giriþe açýk
BATTLE_FIELD_OPERATION_TIME_END	Savaþ Alaný hala açýk %s saat.
BATTLE_FIELD_OPERATION_TIME_NA	Þu anda giriþe kapalý.
BATTLE_FIELD_OPERATION_TIME_OPEN	Giriþe açýk %s saat için %s saat.
BATTLE_FILED_RANK	Derece
BATTLE_FILED_RANK_EMPIRE	Krallýk
BATTLE_FILED_RANK_NAME	Ýsim
BATTLE_FILED_RANK_POINT	Puan
CANCEL	Ýptal
CHANGE_ATTR_SELECT	Bonusu Deðiþtir
CHANGE_PASSWORD_CONFIRM	Yeni Þifre Onayla
CHANGE_PASSWORD_NEW	Yeni Þifre
CHANGE_PASSWORD_OLD	Eski Þifre
CHANGE_PASSWORD_TITLE	Þifre Deðiþtir
CHARACTER_ACTION	Duygu
CHARACTER_EMOTICON	Duygu
CHARACTER_MAIN	Karakter
CHARACTER_MUTUAL_ACTION	Ortak Hareket
CHARACTER_NORMAL_ACTION	Normal Hareket
CHARACTER_QUEST	Görevler
CHARACTER_SKILL	Beceri
CHARACTER_SPECTIAL_ACTION	Özel Haraket
CHAT_FILTER	Sohbet filtresi
CHAT_FILTER_DICE	Zar
CLOSE	Kapat
COMB_APPEARANCE	Hedef
COMB_ATTRIBUTE	Malzeme
COMB_MAIN	Hedef
COMB_MATERIAL	Malzeme
COMB_SKILLBOOK_TILE	Beceri Kitabý
COMB_TITLE	
COSTUME_TITLE	Kostümler
COSTUME_WINDOW_TITLE	Kostümler
CREATE_ATT_GRADE	STR
CREATE_CREATE	Oluþtur
CREATE_DEX_GRADE	DEX
CREATE_HP	HP
CREATE_LAST_POINT	Puan
CREATE_MAN	Erkek
CREATE_NAME	Isim
CREATE_NEXT	Sonraki
CREATE_PREV	Önceki
CREATE_SEX	Cinsiyet
CREATE_SHAPE	Biçim
CREATE_SP	Zeka
CREATE_STAT_RESET	Sýfýrla
CREATE_WOMAN	Kadýn
CUBE_INFO_TITLE	Arýndýrma Kýlavuzu
CUBE_REQUIRE_MATERIAL	Gerekli malzemeler:
CUBE_REQUIRE_MATERIAL_OR	veya
CUBE_TITLE	Arýndýrma Paneli
CURRENT_POINT	Mevcut Puan: %s
CZ_REWARD_WINDOW_TITLE	Zodyak Tapýnaðý
DO_CHANGE_ATTR	Uygula
DO_REFINE	Arýndýr
DRAGONSOUL_ACTIVATE	Etkinleþtir
DRAGONSOUL_CHANGE_ATTR_WINDOW_TITLE	Efsanevi Ejderha Taþlarý için Bonus Deðiþikliði
DRAGONSOUL_PAGE_BUTTON_1	Ýþlenmemiþ
DRAGONSOUL_PAGE_BUTTON_2	Yontulmuþ
DRAGONSOUL_PAGE_BUTTON_3	Ender
DRAGONSOUL_PAGE_BUTTON_4	Antika
DRAGONSOUL_PAGE_BUTTON_5	Efsanevi
DRAGONSOUL_PAGE_BUTTON_6	Efsanevi
DRAGONSOUL_REFINE_WINDOW_TITLE	Arýndýrma Paneli
DRAGONSOUL_TAP_TITLE_1	Ejderha Elmasý
DRAGONSOUL_TAP_TITLE_2	Ejderha Yakutu
DRAGONSOUL_TAP_TITLE_3	Ejderha Yeþimi
DRAGONSOUL_TAP_TITLE_4	Ejderha Safiri
DRAGONSOUL_TAP_TITLE_5	Ejderha Grenasý
DRAGONSOUL_TAP_TITLE_6	Ejderha Oniksi
DRAGONSOUL_TITLE	Ejderha Taþý Simyasý
DUTCHAUCTION_BUTTON	Git!
DUTCHAUCTION_TITLE	Hýzlý Arýndýrma
EMPIRE_EXIT	Çýkýþ
EMPIRE_NEXT	Sonraki
EMPIRE_PREV	Önceki
EMPIRE_SELECT	Seçim
END_TIME	Aktif Etkinlik
ENTER_BATTLE_FIELD	Giriþ
EVENT_ALARM_TITLE	Etkinliðe Katýl
EVENT_NAME_TITLE	Ýsim
EVENT_REWARD_TITLE	Ödül
EXCHANGE_ACCEPT	Tamam
EXCHANGE_TITLE	Ticaret
EXIT_BATTLE_FIELD	Savaþ Alanýn'dan gerçekten ayrýlmak istiyor musun?
EXIT_BATTLE_FIELD_ON_DEAD	Savaþ Alanýndan %d puanla ayrýlmak istiyor musunuz?
EXPIRED_TIME	Etkinlik sona erdi.
FRAGMENT_COMB_TITLE	Beceri Kitaplarýný Birleþtir
GAMEOPTION_TITLE	Oyun Seçenekleri
GAME_EXIT_OBSERVER	Ýzlemeyi Bitir
GAME_GUILD_WAR_JOIN	Lonca Savaþýna Katýl
GAME_HELP	Yardým
GAME_QUEST	Görevler
GAME_SKILL_UP	Becerileri Geliþtir
GAME_STAT_UP	Statü Geliþtir
GEMSHOP_LEFTTIME	Kalan Süre
GEMSHOP_TITLA	GAYA MARKET
GRADE	Sýnýf
GRADE_SELECT	Sýnýf
GRAPHICONOFF_DROP_ITEM_APPLY	Uygula
GRAPHICONOFF_DROP_ITEM_LEVEL	Eþya Düþme
GRAPHICONOFF_DROP_ITEM_LEVEL1	1
GRAPHICONOFF_DROP_ITEM_LEVEL1_TOOLTIP	Efekti göster & isim
GRAPHICONOFF_DROP_ITEM_LEVEL2	2
GRAPHICONOFF_DROP_ITEM_LEVEL2_TOOLTIP	Efekti gizle
GRAPHICONOFF_DROP_ITEM_LEVEL3	3
GRAPHICONOFF_DROP_ITEM_LEVEL3_TOOLTIP	Efekti gizle & isim
GRAPHICONOFF_DROP_ITEM_LEVEL4	4
GRAPHICONOFF_DROP_ITEM_LEVEL4_TOOLTIP	Öðeleri gizle & göstermek için fareyle üzerine gelin
GRAPHICONOFF_DROP_ITEM_LEVEL5	5
GRAPHICONOFF_DROP_ITEM_LEVEL5_TOOLTIP	Öðeleri gizle & isim
GRAPHICONOFF_EFFECT_APPLY	Uygula
GRAPHICONOFF_EFFECT_LEVEL	Efekt
GRAPHICONOFF_EFFECT_LEVEL1	1
GRAPHICONOFF_EFFECT_LEVEL1_TOOLTIP	Hepsini Göster
GRAPHICONOFF_EFFECT_LEVEL2	2
GRAPHICONOFF_EFFECT_LEVEL2_TOOLTIP	Sadece senin ve canavar efektleri
GRAPHICONOFF_EFFECT_LEVEL3	3
GRAPHICONOFF_EFFECT_LEVEL3_TOOLTIP	Sadece senin ve diðer oyuncu efektleri
GRAPHICONOFF_EFFECT_LEVEL4	4
GRAPHICONOFF_EFFECT_LEVEL4_TOOLTIP	Sadece Senin
GRAPHICONOFF_EFFECT_LEVEL5	5
GRAPHICONOFF_EFFECT_LEVEL5_TOOLTIP	Hepsini Gizle
GRAPHICONOFF_NPC_NAME_STATUS	NPC isimleri
GRAPHICONOFF_NPC_NAME_STATUS_OFF	kapalý
GRAPHICONOFF_NPC_NAME_STATUS_OFF_TOOLTIP	NPC Ýsimlerini Gizle
GRAPHICONOFF_NPC_NAME_STATUS_ON	Açýk
GRAPHICONOFF_NPC_NAME_STATUS_ON_TOOLTIP	NPC Ýsimlerini Göster
GRAPHICONOFF_PET_STATUS	Evcil Hayvanlar
GRAPHICONOFF_PET_STATUS_OFF	Kapalý
GRAPHICONOFF_PET_STATUS_OFF_TOOLTIP	Evcil Hayvanlarý Gizle
GRAPHICONOFF_PET_STATUS_ON	Açýk
GRAPHICONOFF_PET_STATUS_ON_TOOLTIP	Evcil Hayvanlarý Göster
GRAPHICONOFF_PRIVATE_SHOP_APPLY	Uygula
GRAPHICONOFF_PRIVATE_SHOP_LEVEL	Özel Dükkan
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1	1
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1_TOOLTIP	Hepsini Göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2	2
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2_TOOLTIP	Hepsini geniþ yarýçapta göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3	3
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3_TOOLTIP	Hepsini orta yarýçapta göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4	4
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4_TOOLTIP	Hepsini küçük yarýçapta göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5	5
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5_TOOLTIP	Hepsini yakýn çevrede göster
GUILDWINDOW_BASE_BUFF	Lonca bonusu
GUILD_BANKINFO_CLOSE	Kapat
GUILD_BANKINFO_NAME	Üye
GUILD_BANKINFO_TITLE	Lonca Depo Kaydý
GUILD_BANKINFO_TYPE	Item/Para birimi
GUILD_BANKINFO_USETYPE	Aksiyon
GUILD_BANK_CLOSE	Kapat
GUILD_BANK_INFO	Depo Sayfasý:
GUILD_BANK_NUMBER	Banka Nuamrasý
GUILD_BASEINFO_BANK	Lonca Deposu
GUILD_BASEINFO_BANKLASTOUT	Son Eþya Kaldýrýldý
GUILD_BASEINFO_BUILDING	Lonca Binasý
GUILD_BASEINFO_DEAL	Lonca Bölgesini Sat
GUILD_BASEINFO_FACTORY	Lonca Demircisi
GUILD_BASEINFO_GOLDMANAGE	iþlem
GUILD_BASEINFO_GUILDLAND	Lonca Bölgesi
GUILD_BASEINFO_LANDABANDON	Lonca Bölgesini Daðýt
GUILD_BASEINFO_LANDSCAPE	Diðer
GUILD_BASEINFO_LOCALE	Konum
GUILD_BASEINFO_MONEY	Denge
GUILD_BASEINFO_MONEYBANKINFO	Lonca Banka Bilgileri
GUILD_BASEINFO_MONEYIN	Depozito
GUILD_BASEINFO_MONEYLASTOUT	Son Para Çekme
GUILD_BASEINFO_MONEYOUT	Para çekme
GUILD_BASEINFO_POWER	Güç Sunaðý
GUILD_BASEINFO_SMEITER	Lonca Simyacýsý
GUILD_BASEINFO_TITLE	Bölge Bilgileri
GUILD_BASEINFO_VOTE	Oylama
GUILD_BASENAME	Temel Ýsim
GUILD_BOARD_ID	Ýsim
GUILD_BOARD_REFRESH	Yenile
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_CATEGORY_TITLE	Ýnþaat Birimleri
GUILD_BUILDING_CHANGE	Deðiþtir
GUILD_BUILDING_CHANGE_DELETE	Sil
GUILD_BUILDING_CHANGE_FIX	Lonca Yeniden Ýnþasý
GUILD_BUILDING_CHANGE_LIST	Lonca Mülkiyet Listesi
GUILD_BUILDING_DIRECTION	Oryantasyon
GUILD_BUILDING_FIX	Yeniden Kurma
GUILD_BUILDING_GRADE	Derece
GUILD_BUILDING_INFO	Binalar ve Maliyet Bilgileri
GUILD_BUILDING_LIST_TITLE	Yapý Listesi
GUILD_BUILDING_LOG	Gövde
GUILD_BUILDING_NAME	Bina Adý
GUILD_BUILDING_OPERATE	Yönet
GUILD_BUILDING_PLY	kontrplak
GUILD_BUILDING_POSITION	Pozisyon
GUILD_BUILDING_PREVIEW	Önizleme
GUILD_BUILDING_PRICE	Fiyat
GUILD_BUILDING_REFRESH	Yenile
GUILD_BUILDING_STONE	Taþ
GUILD_BUILDING_TITLE	Lonca Meclis Binalarý
GUILD_CRYSTAL	Kristal
GUILD_DEPOSIT	Depozit
GUILD_DRAGONLAIR_RANKING	Sýralama
GUILD_DRAGONLAIR_RANKING_COUNT	Rütbe
GUILD_DRAGONLAIR_RANKING_MEMBER	Üye
GUILD_DRAGONLAIR_RANKING_NAME	Lonca
GUILD_DRAGONLAIR_RANKING_TIME	Zaman
GUILD_DROP_RESOURCE1	Burada
GUILD_DROP_RESOURCE2	Düþen Kaynak
GUILD_GEM	Deðerli Taþ
GUILD_GRADE_CHANGE_GRADE_NAME	Yeni rütbe ismi
GUILD_GRADE_NUM	No.
GUILD_GRADE_PERMISSION_BANK	Lonca bankasý ve depo kullanabilir
GUILD_GRADE_PERMISSION_DELETE	Kov
GUILD_GRADE_PERMISSION_JOIN	Davet
GUILD_GRADE_PERMISSION_NOTICE	Mesaj Yaz
GUILD_GRADE_PERMISSION_SKILL	Beceriler
GUILD_GRADE_PERMISSION_WAR	Savaþçý olarak katýlacak üyeleri seçebilir
GUILD_GRADE_RANK	Sýra
GUILD_GRADE_WRITE	Yaz
GUILD_INFO	Lonca Bilgisi
GUILD_INFO_CUR_EXP	Tecrübe
GUILD_INFO_DECALRE_WAR	Savaþ Ýlaný
GUILD_INFO_ENEMY_GUILD	Düþman Lonca
GUILD_INFO_ENEMY_GUILD_EMPTY	Yok
GUILD_INFO_LEVEL	Lonca Seviyesi
GUILD_INFO_MARK	Lonca Ýmzasý
GUILD_INFO_MASTER	Lider
GUILD_INFO_MASTER_VALUE	Lider
GUILD_INFO_MEMBER_AVG_LEVEL	Ortalama Seviye
GUILD_INFO_MEMBER_NUM	Üye Sayýsý
GUILD_INFO_NAME	Lonca Ýsmi
GUILD_INFO_NAME_VALUE	Bu bir Lonca ismi
GUILD_INFO_OFFER_EXP	Yatýrým
GUILD_INFO_REST_EXP	Gereken Tecrübe
GUILD_INFO_UPLOAD_MARK	Ýmza Yükle
GUILD_INFO_UPLOAD_SYMBOL	Bayrak Yükle
GUILD_LANDDEAL_VOTE	Lonca Bölgesini Sat
GUILD_LANDDEAL_VOTE_DEALGOLD	Yang:
GUILD_LANDDEAL_VOTE_DEALGUILDNAME	Lonca Adý:
GUILD_MARK	Lonca Ýþareti
GUILD_MASTER_CHANGE_TITLEBAR	Lonca Liderliði Devret
GUILD_MEMBER_JOB	Sýnýf
GUILD_MEMBER_KNIGHT	Lider
GUILD_MEMBER_LEVEL	Seviye
GUILD_MEMBER_NAME	Isim
GUILD_MEMBER_OUT_TITLEBAR	Üyeyi Kaldýr
GUILD_MEMBER_RANK	Rütbe
GUILD_MEMBER_SPECIFIC_GRAVITY	Yatýrým
GUILD_MEMBER_VOTE_CHECK	Oylarý kontrol et
GUILD_METIN_STONE	Ruh Taþý
GUILD_MINENAL	Mineral
GUILD_MONEY	Yang
GUILD_NAME	Lonca
GUILD_RESOURCE_INFO	Kaynak Bilgileri
GUILD_SKILLPAGE_LADDER	Sýralama Puanlarý
GUILD_SKILLPAGE_RANK	Sýralama
GUILD_SKILL_ACTIVE	Aktif
GUILD_SKIlL_HEAL_GSP	Gücü Geri Kazan
GUILD_SKILL_PASSIVE	Pasif
GUILD_SKILL_POWER	Enerji
GUILD_SKILL_STATE	Loncanýn Becerileri
GUILD_SYMBOL	Lonca Bayraðý
GUILD_WAR_ACCEPT	Savaþ Ýsteðini Kabul Et
GUILD_WAR_ALLSCORE	Tüm Savaþlar
GUILD_WAR_BATTLE_TYPE	Savaþ Türü
GUILD_WAR_CTF	Bayrak
GUILD_WAR_DECLARE	Lonca Savaþý Ýlan Et
GUILD_WAR_ENEMY	Düþman
GUILD_WAR_GAINSCORE	Puan
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	Savaþ Zamaný
GUILD_WAR_GAMETIME_SIXTY	60 dk.
GUILD_WAR_GAMETIME_TEN	10 dk.
GUILD_WAR_GAMETIME_THIRTY	30 dk.
GUILD_WAR_JOINMEMBER	Üyeler
GUILD_WAR_JOINMEMBER_COUNT	Üyeler
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	Alan
GUILD_WAR_REPORT	Savaþ Raporu
GUILD_WAR_REPORTLIST	Genel Bakýþ (Savaþlar: S, Galibiyet: G, Maðlubiyet: E, Beraberlik: B)
GUILD_WAR_SCORE	Savaþ Raporu
GUILD_WAR_SKILL	Lonca Becerileri
GUILD_WAR_TYPE_DEFENSE	Kalkan
GUILD_WAR_TYPE_DIE	Arena
GUILD_WAR_TYPE_FLAG	Bayrak
GUILD_WAR_TYPE_NORMAL	Alan
GUILD_WAR_TYPE_TIGER	Yok Etme
GUILD_WAR_TYPE_TIME	Zaman Saldýrýsý
GUILD_WAR_WARP	Arena
GUILD_WAR_WIN	Tur
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	Water
GUILD_WATER_STONE	Su Taþý
GUILD_WITHDRAW	Geri Çek
HELP_ATTACK	Fare týklamasý baþýna tek saldýrýlarý etkinleþtirir.
HELP_ATTACK_KEY	Saldýr: sol fare tuþu veya boþluk tuþu ile
HELP_AUTO_ATTACK	Fare týklamasý baþýna otomatik saldýrýlarý etkinleþtirir.
HELP_CAMERA	Kamera açýsý
HELP_CHANGE_PK_MODE	Saldýrý modunu deðiþtir: sol fare düðmesinin ayarýný deðiþtir
HELP_CHARACTER_BUTTON1	(Karakter Penceresi, Envanter Penceresi,
HELP_CHARACTER_BUTTON2	Arkadaþ Listesi ve Seçenekler)
HELP_CHAT	Belirli gruplarla konuþmak için mesajýnýzýn önüne aþaðýdakileri ekleyin: !(çaðrý), #(grup sohbeti) veya %(lonca sohbeti).
HELP_CLICK_OTHER_PLAYER	Ticaret yapmak, bir grup oluþturmak veya bir düelloya davet etmek için baþka bir oyuncuya sað týklayýn.
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Varsayýlan Kamera Görünümü: orta fare düðmesi
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Alternatif Kamera Görünümü: sað veya sol fareye atama
HELP_EMOTINO	<CTRL> + <1~9> tuþ kombinasyonlarýyla duygularýnýzý ifade edin.
HELP_EXP	Tecrübe
HELP_FURY	Oyun Ýçi Eþya Dükkaný
HELP_GUILD_WINDOW	Lonca Penceresini Aç: Alt + G
HELP_HELP	Yardým: H
HELP_HELP_KEY	Varsayýlan ayarlar yardým ekranýnda görüntülenir.
HELP_HP	Hayat Puaný (HP)
HELP_KEYSETTING	Anahtar baðlantýlarýnýzý oyun seçeneklerinden deðiþtirebilirsiniz.
HELP_MESSENGER_WINDOW	Arakadaþ Listesini aç: Alt + M tuþlarý  ile
HELP_MINIMAP	Mini haritayý görüntüler.
HELP_MINIMAP_QUEST	Görevler, mini haritada ve büyük haritada yanýp sönen simgeler olarak görüntülenir.
HELP_MOUSE_LEFT	Sol mouse tuþunun iþlevi
HELP_MOUSE_RIGHT	Sað mouse tuþunun iþlevi
HELP_MOVE_KEY	Kumanda: W, S, A, D tuþlarý ve ok tuþlarý ile
HELP_OFF_QUESTSCROLL	<CTRL> + Q ile görev kaydýrmalarýný görüntüleyin/gizleyin.
HELP_OPEN_CHARACTER	Karakter penceresini aç: C
HELP_OPEN_CHAT	Sohbet Penceresini aç: Giriþ tuþu ile
HELP_OPEN_INVENTORY	Envanter penceresini aç: I
HELP_OPEN_LOG	Sohbet protokolünü (Log) aç: L tuþu ile
HELP_OPEN_MINIMAP	Küçük Haritayý aç: Shift + M tuþlarý ile
HELP_OPEN_QUEST	Görev Penceresini aç: N tuþu ile
HELP_OPEN_SKILL	Beceri Penceresini aç: V tuþu ile
HELP_OPEN_WHISPER	Fýsýltý Penceresini aç: üst karakter + giriþ tuþu ile
HELP_OPEN_ZONEMAP	Genel Görünüm Haritasý'ný aç: M tuþu ile
HELP_PICK_ITEM	Nesneleri topla: ^ , Y veya sol fare tuþu ile
HELP_QUICKSLOT	Hýzlý Eriþim Alanlarý
HELP_SCREEN_CAPTURE	Ekran görüntüsünü kaydet: Yazdýr veya Print tuþu ile ("Metin2\screenshot" dosyasý altýnda kaydedilecek)
HELP_SERVER	Sunucuyu ve kanalý görüntüler.
HELP_SHOW_ALL_NAME	Ýsimleri göster: Alt tuþu ile
HELP_SKILL	Burada sað fare tuþu ile bir beceri kullanabilirsiniz.
HELP_SP	Zihin Puaný (SP)
HELP_SYSTEM_BUTTON	Sistem Tuþlarý
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_3	3. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_4	4. Envanter
INVENTORY_TITLE	Envanter
ITEM_MALL	Nesne Market
KEYCHANGE_ACTION_WINDOW	Haraketler
KEYCHANGE_ATTACK	Saldýrý
KEYCHANGE_AUTORUN	Otomatik Çalýþtýrma
KEYCHANGE_AUTO_WINDOW	Otomatik Avlanma
KEYCHANGE_BASEACTION	Standart Tuþlar
KEYCHANGE_CAM_DOWN1	Kamera (aþaðý)
KEYCHANGE_CAM_DOWN2	Kamera (aþaðý)
KEYCHANGE_CAM_LEFT1	Kamera (sola)
KEYCHANGE_CAM_LEFT2	Kamera (sola)
KEYCHANGE_CAM_RIGHT1	Kamera (saða)
KEYCHANGE_CAM_RIGHT2	Kamera (saða)
KEYCHANGE_CAM_UP1	Kamera (yukarý)
KEYCHANGE_CAM_UP2	Kamera (yukarý)
KEYCHANGE_CAM_ZOOM_IN1	Kamera (yakýnlaþtýrma)
KEYCHANGE_CAM_ZOOM_IN2	Kamera (yakýnlaþtýrma)
KEYCHANGE_CAM_ZOOM_OUT1	Kamera (uzaklaþtýrma)
KEYCHANGE_CAM_ZOOM_OUT2	Kamera (uzaklaþtýrma)
KEYCHANGE_CANCLE	Ýptal et
KEYCHANGE_CHAT_WINDOW	Chat Kaydý
KEYCHANGE_CLEAR	Standart
KEYCHANGE_DDS_WINDOW	DSS
KEYCHANGE_DOWN1	Geriye doðru
KEYCHANGE_DOWN2	Geriye doðru
KEYCHANGE_DSS1	DS [Gökyüzü]
KEYCHANGE_DSS2	DS [Toprak]
KEYCHANGE_EMOTION1	Duygu (Üzgün)
KEYCHANGE_EMOTION2	Duygu (Para)
KEYCHANGE_EMOTION3	Duygu (Müzik)
KEYCHANGE_EMOTION4	Duygu (Kalp)
KEYCHANGE_EMOTION5	Duygu (Kalpler)
KEYCHANGE_EMOTION6	Duygu (Bomba)
KEYCHANGE_EMOTION7	Duygu (Fikir)
KEYCHANGE_EMOTION8	Duygu (Fýrtýna)
KEYCHANGE_EMOTION9	Duygu (Üzgün)
KEYCHANGE_GUILD_WINDOW	Lonca
KEYCHANGE_HELP_WINDOW	Yardým
KEYCHANGE_IMPOSSIBLE_CHANGE	[CTRL], [ALT], [SHIFT] burada izin verilmez!
KEYCHANGE_INGAMEEVENT	ETKÝNLÝK
KEYCHANGE_INTERFACE	Pencere
KEYCHANGE_INVENTORY_WINDOW	Envanter
KEYCHANGE_KEY_SETTING	Klavye Ayarlarý
KEYCHANGE_LEFT1	sol
KEYCHANGE_LEFT2	sol
KEYCHANGE_MESSENGER_WINDOW	Arkadaþlar
KEYCHANGE_MINIMAP_MINER	Mini Harita (-)
KEYCHANGE_MINIMAP_PLUS	Mini Harita (+)
KEYCHANGE_MINIMAP_WINDOW	Büyük Harita
KEYCHANGE_MONSTER_CARD_WINDOW	Canavar Kartý
KEYCHANGE_NEXT_TARGET	Sonraki hedef
KEYCHANGE_PARTY_MATCH_WINDOW	Grup Arama
KEYCHANGE_PET_WINDOW	Evcil Hayvan
KEYCHANGE_QUEST_SCROLL_ONOFF	Görev kaydýrmalarý
KEYCHANGE_QUEST_WINDOW	Görevler
KEYCHANGE_QUICKSLOT1	Seviye 1
KEYCHANGE_QUICKSLOT2	Seviye 2
KEYCHANGE_QUICKSLOT3	Seviye 3
KEYCHANGE_QUICKSLOT4	Seviye 4
KEYCHANGE_RIDE	Binek
KEYCHANGE_RIDE_BYE	Atý Býrak
KEYCHANGE_RIDE_HORSE	Binek
KEYCHANGE_RIDE_PEED	Atý Besle
KEYCHANGE_RIGHT1	Sað
KEYCHANGE_RIGHT2	Sað
KEYCHANGE_ROOT1	Kaldýr
KEYCHANGE_ROOT2	Kaldýr
KEYCHANGE_SAVE	Kaydet
KEYCHANGE_SCREENSHOT	Ekran Görüntüsü
KEYCHANGE_SHOW_NAME	Ýsimleri Göster
KEYCHANGE_SKILL_WINDOW	Beceriler
KEYCHANGE_SLOT1	Slot 1
KEYCHANGE_SLOT2	Slot 2
KEYCHANGE_SLOT3	Slot 3
KEYCHANGE_SLOT4	Slot 4
KEYCHANGE_SLOT5	Slot 5
KEYCHANGE_SLOT6	Slot 6
KEYCHANGE_SLOT7	Slot 7
KEYCHANGE_SLOT8	Slot 8
KEYCHANGE_SLOT_KET	Hýzlý Slotlar
KEYCHANGE_STATUS_WINDOW	Karakter
KEYCHANGE_UP1	Ýleri
KEYCHANGE_UP2	Ýleri
LANGUAGE_AE	Arap
LANGUAGE_CZ	Çek
LANGUAGE_DE	Alman
LANGUAGE_DK	Danimarka
