PROFILE_SEARCH_CONTACT_TITLE	Suche nach einem Kontakt
GUILD_BUILDING_REFRESH	Aktualisieren (F5)
GUILD_BUILDING_STONE	Fu.stein
GUILD_BUILDING_TITLE	Gildenhausbau
GUILD_CRYSTAL	Kristall
GUILD_DEPOSIT	Zahlen
GUILD_DROP_RESOURCE1	hier
GUILD_DROP_RESOURCE2	Ressource fallen lassen
GUILD_GEM	Edelstein
GUILD_GRADE_CHANGE_GRADE_NAME	Neuer Rangname
GUILD_GRADE_NUM	Nr.
GUILD_GRADE_PERMISSION_DELETE	Entlassen
GUILD_GRADE_PERMISSION_JOIN	Einladen
GUILD_GRADE_PERMISSION_NOTICE	Schreiben
GUILD_GRADE_PERMISSION_SKILL	Fertigkeiten
GUILD_GRADE_RANK	Rang
GUILD_GRADE_WRITE	Schreiben
GUILD_INFO	Gildeninformationen
GUILD_INFO_CUR_EXP	Erfahrung
GUILD_INFO_DECALRE_WAR	Krieg erklären
GUILD_INFO_ENEMY_GUILD	Feindliche Gilde
GUILD_INFO_ENEMY_GUILD_EMPTY	Keine
GUILD_INFO_LEVEL	Gilden-Level
GUILD_INFO_MARK	Gildenzeichen
GUILD_INFO_MASTER	Leader
GUILD_INFO_MASTER_VALUE	Leader
GUILD_INFO_MEMBER_AVG_LEVEL	Durchschnittliches Level
GUILD_INFO_MEMBER_NUM	Mitgliederzahl
GUILD_INFO_NAME	Gildenname
GUILD_INFO_NAME_VALUE	Dies ist ein Gildenname
GUILD_INFO_OFFER_EXP	Invest.
GUILD_INFO_REST_EXP	Nötige Erfahrung
GUILD_INFO_UPLOAD_MARK	Zeichen hochladen
GUILD_INFO_UPLOAD_SYMBOL	Flagge hochladen
GUILD_MARK	Gildenzeichen
GUILD_MEMBER_JOB	Klasse
GUILD_MEMBER_KNIGHT	Leader
GUILD_MEMBER_LEVEL	Level
GUILD_MEMBER_NAME	Name
GUILD_MEMBER_RANK	Rang
GUILD_MEMBER_SPECIFIC_GRAVITY	Invest.
GUILD_METIN_STONE	Geiststein
GUILD_MINENAL	Mineral
GUILD_MONEY	Yang
GUILD_NAME	Gilde
GUILD_RESOURCE_INFO	Ressourceninformationen
GUILD_SKILL_ACTIVE	Aktiv
GUILD_SKIlL_HEAL_GSP	Aufladen
GUILD_SKILL_PASSIVE	Passiv
GUILD_SKILL_POWER	Energie
GUILD_SKILL_STATE	Skills of the Guild
GUILD_SYMBOL	Gildenflagge
GUILD_WAR_ACCEPT	Gildenkriegserklärung annehmen
GUILD_WAR_BATTLE_TYPE	Kampfart
GUILD_WAR_CTF	Flagge
GUILD_WAR_DECLARE	Gildenkrieg erklären
GUILD_WAR_ENEMY	Gegner
GUILD_WAR_NORMAL	Feld
GUILD_WAR_WARP	Arena
GUILD_WATER	Wasser
GUILD_WATER_STONE	Wasserstein
GUILD_WITHDRAW	Nehmen
HELP_ATTACK_KEY	Angreifen: linke Maustaste oder Leertaste
HELP_CHANGE_PK_MODE	Angriffsmodus wechseln: Belegung der linken Maustaste ändern
HELP_CHARACTER_BUTTON1	(Charakterfenster, Inventarfenster,
HELP_CHARACTER_BUTTON2	Freundesliste und Optionen)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Kamerasicht: mittlere oder rechte Maustaste
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Kamerasicht: rechte oder mittlere Maustaste
HELP_EXP	Erfahrung
HELP_FURY	Ingame Item-Shop
HELP_GUILD_WINDOW	Gildenfenster öffnen: Alt + G
HELP_HELP	Hilfe anzeigen: H
HELP_HP	Trefferpunkte (TP)
HELP_MESSENGER_WINDOW	Freundesliste öffnen: Alt + M
HELP_MOUSE_LEFT	Funktion der linken Maustaste
HELP_MOUSE_RIGHT	Funktion der rechten Maustaste
HELP_MOVE_KEY	Steuerung: W, A, S, D oder Pfeiltasten
HELP_OPEN_CHARACTER	Charakterfenster öffnen: C
HELP_OPEN_CHAT	Chat-Fenster öffnen: Enter
HELP_OPEN_INVENTORY	Inventarfenster öffnen: I
HELP_OPEN_LOG	Chat-Protokoll (Log) öffnen: L
HELP_OPEN_MINIMAP	Minikarte öffnen: Shift + M
HELP_OPEN_QUEST	Auftragsfenster öffnen: N
HELP_OPEN_SKILL	Fertigkeitenfenster öffnen: V
HELP_OPEN_WHISPER	Flüsterfenster öffnen: Shift + Enter
HELP_OPEN_ZONEMAP	Übersichtskarte öffnen: M
HELP_PICK_ITEM	Gegenstände aufheben: ^ oder Y oder linke Maustaste
HELP_QUICKSLOT	Schnellzugriffsfelder
HELP_SCREEN_CAPTURE	Screenshot speichern: Druck bzw. Print (Speicherort ist der Ordner "Metin2\screenshot")
HELP_SHOW_ALL_NAME	Namen anzeigen: Alt
HELP_SP	Manapunkte (MP)
HELP_SYSTEM_BUTTON	Systemtasten
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1. Inventar
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2. Inventar
INVENTORY_PAGE_BUTTON_TOOLTIP_3	3. Inventar
INVENTORY_PAGE_BUTTON_TOOLTIP_4	4. Inventar
INVENTORY_TITLE	Inventar
ITEM_MALL	Item-Shop
LOAD_ERROR	Die Datendatei ist beschädigt. Bitte Client neu installieren. Drücke jetzt die Taste ESC.
LOGIN_CONNECT	Verbinden
LOGIN_FAILURE_TIMEOUT	Fehler beim Verbinden mit dem Server.
LOGIN_CONNECTING	Performance System wird in den Cache geladen...
LOGIN_DEFAULT_SERVERADDR	Servername, Channel 1
LOGIN_EXIT	Beenden
LOGIN_CONNECT_FAILURE	test
LOGIN_REGION_TITLE	Ort für die Rechnungsstellung wählen
LOGIN_SELECT_BUTTON	Wählen
LOGIN_SELECT_EXIT	Beenden
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Server wählen
MALL_PASSWORD_TITLE	Passwort
MALL_TITLE	Itemshop-Lager
MARKET_TITLE	Laden
MARKLIST_REFRESH	Aktualisieren
MARKLIST_TITLE	Gildenzeichen registrieren
MESSAGE	Dies ist eine Nachricht
MESSENGER_ADD_FRIEND	Freund hinzufügen
MESSENGER_DELETE_FRIEND	Freund löschen
MESSENGER_MOBILE	SMS senden
MESSENGER_OPEN_GUILD	Gildenfenster öffnen
MESSENGER_TITLE	Freunde
MESSENGER_USE_GUILD_MOVE_SKILL	Verwende die Gildenbewegungsfertigkeit
MESSENGER_WHISPER	Flüstern
MINIMIZE	Minimieren
MOUSEBUTTON_ATTACK	Angreifen
MOUSEBUTTON_AUTO_ATTACK	Automatisch angreifen
MOUSEBUTTON_CAMERA	Kamera
MOUSEBUTTON_SKILL	Fertigkeiten
MUSICLIST_TITLE	Musikauswahl
NO	Nein
OK	OK
OPTION_ALWAYS_SHOW_NAME	Name
OPTION_ALWAYS_SHOW_NAME_OFF	begrenzt
OPTION_ALWAYS_SHOW_NAME_ON	immer
OPTION_BLOCK	Abblocken
OPTION_BLOCK_EXCHANGE	Handeln
OPTION_BLOCK_FRIEND	Freunde
OPTION_BLOCK_GUILD	Gilde
OPTION_BLOCK_PARTY	Gruppe
OPTION_BLOCK_PARTY_REQUEST	Anfrage
OPTION_BLOCK_WHISPER	Flüstern
OPTION_CAMERA_DISTANCE	Kamera
OPTION_CAMERA_DISTANCE_LONG	Fern
OPTION_CAMERA_DISTANCE_SHORT	Nah
OPTION_DELETE_MOBILE_BUTTON	Handynummer löschen
OPTION_EFFECT	Trefferanzeige
OPTION_FOG	Nebel
OPTION_FOG_DENSE	Viel
OPTION_FOG_LIGHT	Wenig
OPTION_FOG_MIDDLE	Mittel
OPTION_INPUT_MOBILE_BUTTON	Handynummer eingeben
OPTION_MOBILE	Handy
OPTION_MUSIC	Musik
OPTION_MUSIC_CHANGE	Wechseln
OPTION_MUSIC_DEFAULT_THEMA	Standardtitel von Metin2
OPTION_NAME_COLOR	Farbe Name
OPTION_NAME_COLOR_EMPIRE	Reichsfarbe
OPTION_NAME_COLOR_NORMAL	Normal
OPTION_PVPMODE	PvP-Modus
OPTION_PVPMODE_FREE	Frei
OPTION_PVPMODE_FREE_TOOLTIP	Du darfst alle Spieler angreifen.
OPTION_PVPMODE_GUILD	Gilde
OPTION_PVPMODE_GUILD_TOOLTIP	Du darfst alle Spieler mit Ausnahme von Gildenmitgliedern angreifen.
OPTION_PVPMODE_PEACE	Frieden
OPTION_PVPMODE_PEACE_TOOLTIP	Du darfst keine Spieler deines Reiches angreifen.
OPTION_PVPMODE_REVENGE	Feindlich
OPTION_PVPMODE_REVENGE_TOOLTIP	Du darfst nur Spieler mit einer anderen Gesinnung angreifen.
OPTION_SALESTEXT	Ladenname
OPTION_SALESTEXT_VIEW_OFF	ausblenden
OPTION_SALESTEXT_VIEW_ON	einblenden
OPTION_SOUND	Effekte
OPTION_TARGET_BOARD	Zielmenü
OPTION_TARGET_BOARD_NO_VIEW	Schließen
OPTION_TARGET_BOARD_VIEW	Anzeigen
OPTION_TILING	Grafikspeicher
OPTION_TILING_APPLY	Anwenden
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	Optionen
OPTION_VIEW_CHAT	Chatzeile
OPTION_VIEW_CHAT_OFF	ausblenden
OPTION_VIEW_CHAT_ON	einblenden
PARTY_MEMBER_INFO_NAME	Name des Gruppenmitglieds
PASSWORD_DESC_1	Gib dein Passwort ein,
PASSWORD_DESC_2	um das Lager zu öffnen.
PASSWORD_DESC_3	Passwort schon geändert?
PASSWORD_DESC_4	Wenn nicht, ist dein Passwort: "000000".
PASSWORD_DESC_5	Ändere dein Passwort im Lager.
PASSWORD_TITLE	Speicher-PW
PICK_MONEY_TITLE	Teilen
PRIVATE_SHOP_CLOSE_BUTTON	Laden schließen
PRIVATE_SHOP_NAME	Name des Ladens
PRIVATE_SHOP_TITLE	Privaten Laden einrichten
REFINE_COST	Verbesserungskosten: 0 Yang
REFINE_INFO	Wahrscheinlichkeit auf erfolgreiche Verbesserung: 100%
REFINE_MONEY	Veredelungsgebühr
REFINE_SELECT	Veredelung
REFINE_TTILE	Verbesserungen
REPORT_VIOLENT_WHISPER	Petzen
RESTART_HERE	Hier neu starten
RESTART_TOWN	In der Stadt neu starten
SAFE_CHANGE_PASSWORD	Passwort ändern
SAFE_TITLE	Lager
SELECT_ATT_GRADE	STR
SELECT_CREATE	Erstellen
SELECT_DELETE	Löschen
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Name des Reiches
SELECT_EXIT	Beenden
SELECT_HP	VIT
SELECT_LEVEL	Level
SELECT_METIN_STONE_TITLE	Geiststein wählen
SELECT_NAME	Name
SELECT_NO_GUILD	Keine Gilde
SELECT_PLAYTIME	Spielzeit (Min.)
SELECT_SELECT	Start
SELECT_SP	INT
SELECT_TITLE	Titel auswählen
SHOP_BUY	Kaufen
SHOP_SELL	Verkaufen
SHOP_TITLE	Laden
SKILL_SUPPORT_TITLE	Standardfertigkeiten
STEP	Reinheitsgrad
STEP_SELECT	Reinheitsgrad
STRENGTH	Verstärken
STRENGTH_SELECT	Stufe
SYSTEMOPTION_TITLE	Systemoptionen
SYSTEM_CHANGE	Charakter wechseln
SYSTEM_EXIT	Spiel beenden
SYSTEM_HELP	Hilfe
SYSTEM_LOGOUT	Ausloggen
SYSTEM_MALL	Item-Shop
SYSTEM_OPTION	Systemoptionen
TASKBAR_CHARACTER	Charakter [C/V/B/N]
TASKBAR_CHAT	Chat-Fenster [Enter]
TASKBAR_DISABLE	Deaktiviert
TASKBAR_DRAGON_SOUL	Drachensteinalchemie
TASKBAR_EXPAND	Fenster vergrößern
TASKBAR_INVENTORY	Inventar [I]
TASKBAR_MESSENGER	Freunde [Alt+M]
TASKBAR_NEXT_QUICKSLOT	Nächstes Schnellzugriffsfeld [Umschalt+Zahl, Alt]
TASKBAR_PREV_QUICKSLOT	Vorheriges Schnellzugriffsfeld [Umschalt+Zahl]
TASKBAR_SYSTEM	Optionen[ESC]
WHISPER_BAN	Abblocken
WHISPER_NAME	Zuflüstern
WHISPER_REPORT	report
WHISPER_SEND	Senden
YES	Ja
ZONE_MAP	Übersichtskarte
FAST_EQUIP	Equip Wechsler
SASH_ABSORB	Boni Absorbieren
SASH_COMBINE	Kombinieren
SASH_MAIN	Schulterband 1
SASH_RESULT	Ergebnis
SASH_SERVE	Schulterband 2
GIFT_WINDOW_NAME	Geschenke
GIFT_PREV_PAGE	Vorherige Seite
GIFT_NEXT_PAGE	Nächste Seite
GIFT_COUNT	Anzahl
GIFT_FROM	Von
GIFT_REASON	Grund
GIFT_GET	Abholen
GIFT_GET_ALL	Alle Items
GIFT_GET_QUEST	Bist du sicher das du %s haben möchtest?
GIFT_GET_QUEST_ALL	Bist du sicher das du alle Items haben möchtest?
GIFT_MONEY_DESC	Du hast das Yang deines Offline Shops erhalten.
SHOP_NAME	Ladenname
SHOP_TIMEOUT	Laufzeit des Ladens:
SHOP_CREATE	Laden eröffnen
SHOP_CREATE_PRICE	Kosten:
SHOP_CREATE_HOURS	Stunden
SHOP_CREATE_HOUR	Stunde
SHOP_CREATE_DAY	Tag
SHOP_CREATE_DAYS	Tage
SHOP_CREATE_NORMAL	Normaler Laden
SHOP_NAME_EMPTY	Bitte gebe einen Ladennamen ein
SHOP_TIMEOUT_EMPTY	Bitte wähle eine Laufzeit für deinen Laden
SHOP_WINDOW_NAME	Deine Läden
SHOP_WINDOW_SHOP_NAME	Laden
SHOP_WINDOW_CREATE	Laden eröffnen
SHOP_GET_YANG	Yang abheben
SHOP_CHANGE_NAME	Namen ändern
SHOP_ENTER_NEW_NAME	Gebe bitte einen neuen Namen ein
SHOP_CLOSE	Laden schließen
SHOP_CLOSE_QUEST	Bist du dir sicher das du den Laden %s schließen willst?
SHOP_MANAGE	Verwalten
SHOP_OPEN	Laden eröffnen
SHOP_EDIT	Bearbeiten
SHOP_REMOVE_ITEM	Entfernen
SHOP_CHANGE_PRICE	Preis ändern
SHOP_EDIT_SHOP_WINDOW	Bearbeiten
SHOP_EDIT_SHOP_CANCEL	Schließen
SHOP_SELECT	Auswahl
SHOP_REMOVE_ITEM_QUEST	Bist du sicher das du dieses Item entfernen willst?
SHOP_NOT_EARNED_YANG	Dein Laden hat bis jetzt noch kein Yang verdient! HAHA
SHOP_YANG_QUEST	Möchtest du %s von Laden %s kaufen?
SHOP_INFORMATION	Ladenname:
SHOP_EARNED_YANG	Verdientes Yang:
SHOP_SOLD_ITEMS	Verkaufte Items:
SHOP_REST_ITEMS	Restliche Items:
SHOP_TIME_TO_CLOSE	Zeit:
SHOP_SELECT_TIME	Auswählen
OPTION_SALESTEXT_RANGE	Shop name range
SHINING_WINDOW_TITLE	Shinings
CHANGE_COSTUME	Seite wechseln
CHANGE_SHINING	Seite wechseln
DEKO_MENU	Dekoration
DESTROY	Zerstören
SHOP_SEARCH_TITLE	Shop Suche
SHOP_SEARCH_CLEAR	Löschen
SHOP_SEARCH_BUTTON	Suchen:
SHOP_SEARCH_PRICE	Preis:
SHOP_SEARCH_ENTER_ITEM_NAME	Gebe Item namen ein
SHOP_SEARCH_EMPTY_ITEM_NAME	Der Item name kann nicht gefunden werden.
GUILD_DRAGONLAIR_RANKING	Rangliste
GUILD_DRAGONLAIR_RANKING_COUNT	Platz
GUILD_DRAGONLAIR_RANKING_MEMBER	Mitglieder
GUILD_DRAGONLAIR_RANKING_NAME	Gilde
GUILD_DRAGONLAIR_RANKING_TIME	Zeit
DUNGEON_INFO	Dungeon Informationen
DUNGEON_INFO_TYPE	Type:
DUNGEON_INFO_ORGANIZATION	Organisation:
DUNGEON_INFO_LEVEL_LIMIT	Level:
DUNGEON_INFO_PARTY_MEMBERS	Gruppen Mitglieder:
DUNGEON_INFO_COOLDOWN	Abklingzeit:
DUNGEON_INFO_DURATION	Dauer:
DUNGEON_INFO_ENTRANCE	Eintritt:
DUNGEON_INFO_STRENGTH	Stärke:
DUNGEON_INFO_RESISTANCE	Widerstand:
DUNGEON_INFO_TOTAL_FINISHED	Abgeschlossen:
DUNGEON_INFO_FASTEST_TIME	Schnellste Zeit:
DUNGEON_INFO_HIGHEST_DAMAGE	Höchster Schaden:
DUNGEON_INFO_TELEPORT	Teleport
DUNGEON_INFO_CLOSE	Schließen
DUNGEON_INFO_PERSONAL_STATS	Persönliche Statistiken
DUNGEON_INFO_DUNGEON	Dungeon
DUNGEON_RANKING	Ranking
DUNGEON_RANKING_POSITION	Position
DUNGEON_RANKING_NAME	Name
DUNGEON_RANKING_LEVEL	Level
DUNGEON_RANKING_POINTS	Points
DUNGEON_RANKING_TYPE1	Vollständig
DUNGEON_RANKING_TYPE2	Zeit
DUNGEON_RANKING_TYPE3	Schaden
DUNGEON_RANKING_POINT_TYPE1	Beenden
DUNGEON_RANKING_POINT_TYPE2	Min. Zeit
DUNGEON_RANKING_POINT_TYPE3	Schaden
CUBE_RENEWAL_TITLE	Veredelung
CUBE_RENEWAL_BELT_IMPROVE	Chancen erhöhen
OPTION_FOV	Feldsicht
NEW_EXCHANGE_YOU	Du
MINI_GAME_RUMI_DISCARD_TEXT	Sicherer Modus
MINI_GAME_RUMI_EXIT	Ende
MINI_GAME_RUMI_LBUTTON_DESC	Zum Hinzufügen einer Karte mit der linken Maustaste klicken
MINI_GAME_RUMI_RBUTTON_DESC	Rechtsklick zum Ablegen der Karte
MINI_GAME_RUMI_SCORE	Punktestand
MINI_GAME_RUMI_START_TEXT	Starten
MINI_GAME_RUMI_TITLE	Elendos Okey Card Spiel
BANNER_FISH_BUTTON	Fischer Jingsaw
MINIGAME_FISH_EVENT_USE_COUNT	Anzahl
MINI_GAME_FISH_HELP_TEXT	Hilfe
MINI_GAME_FISH_START_TEXT	Starten
MINI_GAME_FISH_TITLE	Fischer Jingsaw
LOTTO_WINDOW_TITLE	Lotto-Fenster
LOTTO_NUMBERS	Lottozahlen #%d
LOTTO_NEXT_NUMBERS	Nächste Ziehung: 
LOTTO_NEXT_NUMBERS_REFRESH_BTN	Aktualisieren
LOTTO_TICKET_NUMBER	Lottoschein #%d
LOTTO_TICKET_BUY_DATE	Kaufdatum: %s
LOTTO_TICKET_FOR_DRAW	Für Lottozahlen:
LOTTO_TICKET_STATE_TITLE	Status:
LOTTO_TICKET_STATE_0	Wartet..
LOTTO_TICKET_STATE_1_1	JACKPOT
LOTTO_TICKET_STATE_1_2	%d richtige Zahlen
LOTTO_TICKET_STATE_2	Abgeholt
LOTTO_TICKET_WIN_AMOUNT_TITLE	Gewinn:
LOTTO_TICKET_WIN_0	---------
LOTTO_TICKET_WIN_1	Leider nichts gewonnen
LOTTO_TICKET_DELETE_TICKET	Löschen
LOTTO_TICKET_REWARD_RECIVED_TICKET	Gewinn abholen
LOTTO_WINNING_LIST_BTN	Jackpot Gewinner
LOTTO_PAYOUT_BTN	Auszahlen
LOTTO_CREATE_NEW_TICKET	Lottoschein ausfüllen
LOTTO_NEW_TICKET_WINDOW_TITLE	Lottoschein %d ausfüllen
LOTTO_NEW_TICKET_INFOTEXT	Info: Du musst 4 Zahlen ankreuzen.
LOTTO_NEW_TICKET_COST	Kosten: 
LOTTO_NEW_TICKET_CLEAR_NUMBERS_BUTTON	Zahlen löschen
LOTTO_NEW_TICKET_BUY_BUTTON	Lottoschein kaufen
LOTTO_INFO_WINDOW_TITLE	Lotto-Info
LOTTO_INFO_BIG_TEXT	Um den Jackpot zu gewinnen musst du 4 richtige Zahlen tippen. Bei 1, 2 oder 3 richtigen Tipps bekommst du anteilmäßig \nYang aus dem Jackpot. Die Kosten eines Lottoscheines gehen zu 80% in den Jackpot. \nWurde der Jackpot gewonnen dann wird der Jackpot wieder zurück gesetzt und startet bei 250.000.000 Yang. \n \n Jackpot Gewinnchance -  1 zu 27.405 
LOTTO_LAST_NUM_TITLE	Die letzten %d Lottonummern
LOTTO_RANKLIST_TITLE	Lotto-Rankliste
LOTTO_RANKLIST_TITLEROW_PNAME	Spieler-Name
LOTTO_RANKLIST_TITLEROW_LID	Lotto-ID
LOTTO_RANKLIST_TITLEROW_YANG	Yang
LOTTO_RANKLIST_TITLEROW_DATE	Datum
LOTTO_RANKLIST_TITLEROW_LEVEL	Level
LOTTO_RANKLIST_TITLEROW_EMPIRE	Reich
LOTTO_RANKLIST_BUTTON_JACKPOT	Gewonnene Jackpots
LOTTO_RANKLIST_BUTTON_WIN	Gesamter Gewinn
LOTTO_CHAT_INFO_EMPTY_YANG_TRESOR	Dein Yangspeicher ist leer. Du kannst gerade nichts abheben.
LOTTO_CHAT_INFO_NOT_ENOUGHT_YANG	Du hast nicht genug Yang
LOTTO_CHAT_INFO_SEL_4_NUM	Du musst 4 Zahlen auswählen.
LOTTO_Elendos_1	Du hast diese Zahl ausgewählt.
LOTTO_Elendos_2	Diese Zahl wurde von der Lottoziehung gezogen.
LOTTO_Elendos_3	Deine Zahl stimmt mit der der Lottoziehung überein.
LOTTO_Elendos_4	Gewinn-Berechnungen
LOTTO_Elendos_5	Markierungen
LOTTO_Elendos_6	Allgemeine Informationen
LOTTO_Elendos_Prozentsatz_1	Prozentsatz pro richtige Zahl:
LOTTO_Elendos_Prozentsatz_2	1 richtige Zahl = 0,5% vom Jackpot
LOTTO_Elendos_Prozentsatz_3	2 richtige Zahlen = 2% vom Jackpot
LOTTO_Elendos_Prozentsatz_4	3 richtige Zahlen = 10% vom Jackpot
LOTTO_Elendos_Prozentsatz_5	4 richtige Zahlen = Ganzer Jackpot
LOTTO_Elendos_Prozentsatz_6	Beispiel bei einem Jackpot von 2.000.000.000 Yang:
LOTTO_Elendos_Prozentsatz_7	Jackpot * 0,12 ( 3 Richtige Zahlen ) = 240.000.000 Yang
LOTTO_Elendos_YANG	Yang-Speicher:
LOTTO_Elendos_GESAMMT_WIN	Gesamter Gewinn:
LOTTO_Elendos_JACKPOT_WIN	Gewonnene Jackpots
LOTTO_Elendos_GESAMMT2_WIN	Gesamter Gewinn
TELEPORT_PANEL_TITLE	Teleportations-Fenster
TELEPORT_PANEL_TAB_NAME_1	Allgemein
TELEPORT_PANEL_TAB_NAME_2	Neutral
TELEPORT_PANEL_TAB_NAME_3	Dungeons
TELEPORT_PANEL_TAB_NAME_4	Oth. Dungeons
TELEPORT_PANEL_TAB_NAME_5	Lev. Maps
TELEPORT_PANEL_TAB_NAME_6	Welten Boss
TELEPORT_PANEL_INFO_TITLE	Beschreibung
TELEPORT_PANEL_INFO_BOSS	Bossmonster : %s
TELEPORT_PANEL_INFO_BOSS_EMPTY	Kein Bossmonster auf dieser Map
TELEPORT_PANEL_INFO_MINLV	Min. Level :
TELEPORT_PANEL_INFO_MINLV_EMPTY	Min. Level : Kein Mindestlevel
TELEPORT_PANEL_INFO_MAXLV	Max. Level :
TELEPORT_PANEL_INFO_MAXLV_EMPTY	Min. Level : Kein Maximallevel
TELEPORT_PANEL_INFO_COST	Kosten :
TELEPORT_PANEL_INFO_COST_EMPTY	Kosten : Keine Kosten
TELEPORT_PANEL_INFO_ITEM_COST_DESC	Benötigtes Item
TELEPORT_PANEL_INFO_ITEM_COST_TEXT	%dx %s
TELEPORT_PANEL_INFO_ITEM_COST_TEXT_EMPTY	Kein Item wird benötigt
TELEPORT_MAP_MAP_1	Map 1 - Yongan | Joan | Pyungmoo
TELEPORT_MAP_MAP_2	Map 2 - Jayang | Bokjung | Bakra
TELEPORT_MAP_GUILDZONE	Gildenzone - Jungrang | Waryong | Imha
TELEPORT_MAP_SEUNGRYONG	Tal von Seungryong
TELEPORT_MAP_YONGBI	Yongbi-Wüste
TELEPORT_MAP_SOHAN	Berg Sohan
TELEPORT_MAP_DOYYUMHWAN	Doyyumhwan
TELEPORT_MAP_SNAKEFIELD	Schlangenfeld
TELEPORT_MAP_GHOSTWOOD	Geisterwald
TELEPORT_MAP_REDWOOD	Roter Wald
TELEPORT_MAP_LAND_OF_GIANTS	Land der Riesen
