DUEL_BLOCK_CHANGE_ITEM	[x] Change Item
CANNOT_SHOOT_DEST_IN_SAFE	Düsman çok uzakta.
CANNOT_SHOOT_EMPTY_ARROW	Oka ihtiyacim var.
CANNOT_SHOOT_SELF_IN_SAFE	Buradan düsmana saldiramam.
CANNOT_SKILL_APPROACH	Eminim daha fazla yaklasamam.
CANNOT_SKILL_ATTACK	Ben buna saldiramam.
CANNOT_SKILL_DEST_IN_SAFE	Düsman çok uzakta.
CANNOT_SKILL_EQUIP_FISHING_ROD	Bir oltaya ihtiyacim var.
CANNOT_SKILL_HAVE_TO_RIDE	Bunu kullanmak için bir ata ihtiyacim var.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Bos sisem yok.
CANNOT_SKILL_NEED_POISON_BOTTLE	Zehir sisem yok.
CANNOT_SKILL_NEED_TARGET	Hedef kim?
CANNOT_SKILL_NOT_ENOUGH_HP	Yeterli HP'ye sahip degilim!
CANNOT_SKILL_NOT_ENOUGH_SP	Yeterli SP'ye sahip degilim!
CANNOT_SKILL_NOT_HORSE_SKILL	Bunu binerken kullanamam.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Bu beceriyi bu silahla kullanamam.
CANNOT_SKILL_NOT_YET_LEARN	Ben bu beceriyi ögrenmedim.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Bu yalnizca grup üyeleri için geçerlidir.
CANNOT_SKILL_ONLY_FOR_CORPSE	Sadece ölülerle çalisir.
CANNOT_SKILL_REMOVE_FISHING_ROD	Bu beceriyi bir olta ile kullanamam.
CANNOT_SKILL_SELF_IN_SAFE	Buradan saldiramam.
CANNOT_SKILL_USE_SELF	Bunu kendime uygulayamam.
CANNOT_SKILL_WAIT_COOLTIME	Bu beceriyi henüz kullanamiyorum.
CANNOT_USE	Kullanamazsiniz.
CANNOT_WHISPER_DEST_REFUSE	%s fisiltilar engellendi.	SA
CANNOT_WHISPER_NOT_LOGON	%s çevrimiçi degil.	SA
CANNOT_WHISPER_SELF_REFUSE	Fisiltilari engellediyseniz kimseye fisildayamazsiniz.	SNA
CHANNEL	Kanal
CHANNELING_CANNOT_LOGOUT	Giris ekranina geri dönemezsiniz.
CHANNEL_EMPTY_SERVER	Sunucu yok
CHANNEL_NORMAL	Kanal %d
CHANNEL_NOTIFY_FULL	Bu kanal dolu! Lütfen baska birini seçiniz.
CHANNEL_NOT_FIND_INFO	Kanal hakkinda bilgi bulunamadi.
CHANNEL_PVP	Bedava düello
CHANNEL_SELECT_CHANNEL	Kanali seçin
CHANNEL_SELECT_REGION	Faturalandirma için yer seçin
CHANNEL_SELECT_SERVER	Sunucu seçin
CHANNEL_TEST_SERVER	Ölçek sunucusu
CHANNEL_TEST_SERVER_ADDR	Ölçek %s:%d
CHAT_ALL	Hersey
CHAT_BLOCK	Engelleme
CHAT_GUILD	lonca
CHAT_INFORMATION	bilgi
CHAT_INSULT_STRING	Cümle yasadisi kelimeler içeriyor.
CHAT_LOG	Eski mesajlari göster [L]
CHAT_LOG_TITLE	Sohbet günlügü
CHAT_NORMAL	Normal
CHAT_NOTICE	duyuru
CHAT_PARTY	grup
CHAT_SEND_CHAT	Sohbet gönder
CHAT_SEND_MEMO	Bir fisilti gönder [Üst Karakter + Enter]
CHAT_SHOUT	Aramak
CHAT_SHOUT_LIMIT	Sadece 15 saniyede bir arayabilirsiniz.
CHAT_WHISPER	fisildamak
CREATE_ERROR_GM_NAME	Karakter adinda GM 'kullanamazsiniz.
CREATE_ERROR_INSULT_NAME	Bu isme izin verilmiyor.
CREATE_EXIST_SAME_NAME	Baska bir karakter zaten bu adi tasiyor.
CREATE_FAILURE	Karakteri yaratamazsiniz.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Ismi girin.
CREATE_PLUS_STAT	Hala mevcut durum noktalari var.
DAY	D
DO_YOU_BUY_ITEM1	Istiyor musun %s Için %s satin almak?
DO_YOU_BUY_ITEM2	Istiyor musun %s %s Için %s satin almak?
DO_YOU_DROP_MONEY	Istiyor musun %d Yang'i birak?
DO_YOU_SELL_ITEM1	Istiyor musun %s Için %s satmak?
DO_YOU_SELL_ITEM2	Istiyor musun %s %s Için %s satmak?
DRAGON_SOUL_CANNOT_REFINE	Bu ejderha tasini rafine edemezsiniz.
DRAGON_SOUL_CANNOT_REFINE_MORE	Bu ejderha tasi simdiden en yüksek seviyeye ulasti.
DRAGON_SOUL_EQUIP_WARNING1	Bir ejderha tasini çikarmak zordur.
DRAGON_SOUL_EQUIP_WARNING2	Yine de devam etmek istiyor musun?
DRAGON_SOUL_EXPIRED	Süresi dolmus ejderha tasi
DRAGON_SOUL_INVALID_DRAGON_SOUL	Bu yanlis ejderha tasi.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Bu bir ejderha tasi degil.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Bu dogru ejderha tasi degil.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Iyilestirmek için yeterli malzemeniz yok.
DRAGON_SOUL_NOT_MATCHED_SLOT	Ejderha tasi bu yuvaya sigmiyor.
DRAGON_SOUL_STEP_LEVEL1	Saflik: mat,
DRAGON_SOUL_STEP_LEVEL2	Saflik: temizle,
DRAGON_SOUL_STEP_LEVEL3	Saflik: kusursuz,
DRAGON_SOUL_STEP_LEVEL4	Saflik: parlak,
DRAGON_SOUL_STEP_LEVEL5	Saflik: mükemmel,
DRAGON_SOUL_STRENGTH	adim: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Ejderha tasi yok edilebilir.
DRAGON_SOUL_UNEQUIP_WARNING2	Yine de devam etmek istiyor musun??
DRAGON_SOUL_UNMATCHED_SLOT	Bu yanlis yuvadir.
DRAGON_SOUL_UNQUALIFIED	Henüz Dragon Stone Alchemy'yi kullanamazsiniz.
DROP_ITEM_FAILURE_EQUIP_ITEM	Donanimli herhangi bir esya düsüremezsiniz.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Açik bir özel magazaniz varken esya düsüremezsiniz.
DROP_MONEY_FAILURE_1000_OVER	En fazla 999 Yang düsebilirsin.
EMOTION_ANGRY	Can sikici
EMOTION_ATTRACTIVE	bastan çikarma
EMOTION_BANTER	Alayci
EMOTION_CHEERS_1	Serefe 1
EMOTION_CHEERS_2	Serefe 2
EMOTION_CHEERUP	Serefe
EMOTION_CHOOSE_ONE	Bir hedef seçin.
EMOTION_CLAP	alkis
EMOTION_CLAP_KISS	öpücük
EMOTION_CONGRATULATION	Tesvik
EMOTION_DANCE_1	dans 1
EMOTION_DANCE_2	dans 2
EMOTION_DANCE_3	dans 3
EMOTION_DANCE_4	dans 4
EMOTION_DANCE_5	dans 5
EMOTION_DANCE_6	Gumsan tarzi
EMOTION_FORGIVE	bagislama
EMOTION_FRENCH_KISS	Fransiz öpücügü
EMOTION_JOY	sevinç
EMOTION_SAD	Üzgün
EMOTION_SHY	Reddetme
EMOTION_SLAP	Darbe
EMPIRE_A	Shinsoo bölgesi
EMPIRE_B	Chunjo bölgesi
EMPIRE_C	Jinno  bölgesi
EXCHANGE_CANNOT_GIVE	Bu esya takas edilemez.
EXCHANGE_CANT_EDIT_MONEY	Miktari simdi degistiremezsiniz.
EXCHANGE_FAILURE_EQUIP_ITEM	Donanimli ögeleri degistiremezsiniz.
EXCHANGE_MONEY	Miktar
EXCHANGE_TITLE	Ile %s davranmak
FISHING_FAILURE	Balikçilik cazibesini kaybettin.
FISHING_NOTIFY1	Sahip gibi görünüyor %s isirilmis.
FISHING_NOTIFY2	Sanki asili gibi görünüyor %s kancada.
FISHING_SUCCESS1	Var %s yakalanan!
FISHING_SUCCESS2	Var %s sudan çekildi!
FISHING_UNKNOWN	Bir sey bir isirik aldi ama ne oldugunu söyleyemezsin.
FISHING_WRONG_PLACE	Burada balik tutamazsiniz.
FOR_FEMALE	Kadinlar için
FOR_MALE	Erkekler için
GAME_CANNOT_MINING	Binerken cevher çikaramazsiniz.
GAME_CANNOT_PICK_ITEM	Sizden alinmadigi için ögeyi toplayamazsiniz.
GAME_INIT_ERROR_CURSOR	Imleç olusturulamadi.
GAME_INIT_ERROR_DIRECTX	Oyunun çalismasi için DirectX 8.1 kurulu olmalidir. \ NDirectX 8.1 veya üstünü yükleyin.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Oyunu çalistirmak için hiçbir grafik cihazi bulunamadi. \ nVGA kartinizin dogru takilip takilmadigini kontrol edin.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Grafik cihazi olusturulamadi. \ NCVGA kartiniz olup olmadigini kontrol edin. \ NA Alternatif olarak, donanim hizlandirmayi etkinlestirebilirsiniz. \ N (Donanim hizlandirmayi maksimuma ayarlayin \ nKontrol Paneli-> Ekran-> Ayarlar-> Gelismis- > Sorun giderme sekmesi)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Bilgisayarin grafik karti 32 bit modunda pencere modunu desteklemez. \ N16 bit moduna geçin veya tam ekran modunu kullanin.
GAME_INIT_ERROR_ITEM_PROTO	Öge verisi mevcut degil. \ NOyunu tekrar yükleyin.
GAME_INIT_ERROR_MAIN_WINDOW	Ana pencere olusturulamadi.
GAME_INIT_ERROR_MOB_PROTO	Kullanilabilir canavar verisi yok. \ NOyunu tekrar yükleyin.
GAME_INIT_ERROR_NETWORK	Ag cihazi olusturulamadi. \ NCInternet baglantisini kontrol edin.
GAME_PICK_MONEY	Var %d Yang aldi.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Yükseklik 128 piksel degil
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Yükseklik 12 piksel degil
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Genislik 16 piksel degil
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Genislik 64 piksel degil
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Oyun bu resmi desteklemiyor.
GUILDMARK_UPLOADER_ERROR_PATH	Dosyalari metin2 / upload klasörüne tasiyin.
GUILDMARK_UPLOADER_ERROR_SELECT	Görüntü dosyasi seçilmedi.
GUILDWAR_CTF_TITLE	Bayragi ele geçirin
GUILDWAR_NORMAL_TITLE	Saha savasi
GUILDWAR_QUESTION_LINE_1	Lonca %s loncana savas ilan etti.
GUILDWAR_QUESTION_LINE_2	Kabul ediyor musun? (%s)
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Arena savasi
GUILD_BUILDING_GRADE	sira
GUILD_BUILDING_NAME	Bina Adi
GUILD_CANNOT_HEAL_GSP_ANYMORE	Ejderha ruhu enerjisi zaten tamamen dolu.
GUILD_COMMENT	Yazmak
GUILD_CREATE_ERROR_INSULT_NAME	Lonca adina izin verilmiyor.
GUILD_DEFAULT_GRADE	Lonca üyeleri
GUILD_DELETE	Açik
GUILD_DEPOSIT	Depozito
GUILD_DO_YOU_HEAL_GSP	Ister misin %d Yang %d Ejderha ruhu yenilensin mi?
GUILD_DO_YOU_JOIN	 sizi davet etti. Loncaya katilmak mi?
GUILD_EMPTY_AREA	Bos arazi
GUILD_ENEMY_GUILD_NAME	Rakibin klan adi
GUILD_FACILITY	Ek binalar
GUILD_GEM	Degerli tas
GUILD_HEADQUARTER	Ana bina
GUILD_HEAL_GSP	Ejderha Ruhunu Sarj Et
GUILD_INFO_ENEMY_GUILD_EMPTY	Yok
GUILD_MARK_NOT_ENOUGH_LEVEL	En az 3. seviye gerekli
GUILD_NAME	dernek ismi
GUILD_NOT_ENOUGH_MATERIAL	Bu bina için yeterli yapi malzemesi yok.
GUILD_NOT_ENOUGH_MONEY	Bu bina için yeterli yang yok.
GUILD_NO_NOTICE_PERMISSION	Duyuru yapma izniniz yok.
GUILD_OBJECT	Nesneler
GUILD_OFFER_EXP	Yatirim deneyimi
GUILD_SHORT_EXP	Yeterli deneyim puani yok.
GUILD_TILE_BASEINFO	Temel bilgiler
GUILD_TILE_BOARD	yazi tahtasi
GUILD_TILE_GRADE	Hak yönetimi
GUILD_TILE_INFO	Lonca bilgisi
GUILD_TILE_MEMBER	Lonca üyeleri
GUILD_TILE_SKILL	Lonca becerileri
GUILD_WAR_LIMIT_30MIN	zaman: 30 Dakika
GUILD_WAR_REWARD_POTION	Ödül: Kazanan iksir alir
GUILD_WAR_USE_BATTLE_MAP	Yer: Guild War Arena
GUILD_WAR_USE_NORMAL_MAP	Konum: normal harita
GUILD_WAR_WIN_CHECK_SCORE	En çok zafere sahip olan lonca savasi kazanir.
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Düsmanin bayragini ele geçirin
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	ve onlari üssünüze getirin.
GUILD_WAR_WIN_WIPE_OUT_GUILD	Kazanmak için tüm rakipleri yenin.
GUILD_WITHDRAW	geri çekilmek
GUILD_YOU_DO_NOT_JOIN	Herhangi bir loncaya ait degilsin.
HORSE_HEALTH0	Ölü
HORSE_HEALTH1	Açliktan ölüyor
HORSE_HEALTH2	Aç
HORSE_HEALTH3	Tam
HORSE_LEVEL1	Normal at
HORSE_LEVEL2	Dövüs ati
HORSE_LEVEL3	Askeri at
HOUR	saatler
HOW_MANY_ITEM_DO_YOU_DROP1	Istiyor musun %s düsürmek?
HOW_MANY_ITEM_DO_YOU_DROP2	Istiyor musun %s %d düsürmek?
INPUT_MATRIX_CARD_NUMBER	Matris kart no. giris
INPUT_MATRIX_CARD_TITLE	Matris karti
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Hesap yönetiminden silme kodunu girin.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Karakteri sil
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Kaydirma birlestirilemez.
INVENTORY_REALLY_USE_ITEM	Bu ögeyi kullanmak istiyor musunuz?
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Amator ninja
JOB_ASSASSIN1	Ninjanin gücü
JOB_ASSASSIN2	Ölümsüz
JOB_SHAMAN	saman
JOB_SHAMAN0	Amatör saman
JOB_SHAMAN1	Ejderhanin Gücü
JOB_SHAMAN2	Yildirim gücü
JOB_SURA	Sura
JOB_SURA0	Amatör Suresi
JOB_SURA1	Serapin gücü
JOB_SURA2	Kara büyünün gücü
JOB_WARRIOR	savasçi
JOB_WARRIOR0	Amatör savasçi
JOB_WARRIOR1	Arahanin Gücü
JOB_WARRIOR2	Partizanlarin gücü
LEFT_TIME	Kalan zaman
LOGIN_CONNECT_FAILURE	Sunucuya baglanirken hata olustu.
LOGIN_FAILURE_TIMEOUT	Sunucuya baglanirken hata olustu.
LOGIN_CONNECT_SUCCESS	Sunucu ile baglanti kuruldu.
LOGIN_CONNETING	Sunucuya baglanacaksiniz ...
LOGIN_FAILURE_ALREAY	Hesabiniz zaten bagli.
LOGIN_FAILURE_BE_SAME_KEY	Giris sorunu
LOGIN_FAILURE_BLOCK_ID	Bu hesap kilitli.
LOGIN_FAILURE_BLOCK_LOGIN	Lütfen baska bir sunucu seçin!
LOGIN_FAILURE_NOBILL	Hesabin oyun süresi yok.
LOGIN_FAILURE_NOT_AVAIL	Hesap mevcut degil.
LOGIN_FAILURE_NOT_EXIST_ID	Hesap Adi veya sifresi yanlis.
LOGIN_FAILURE_REPAIR_ID	Hesap için ögeler geri yükleniyor.
LOGIN_FAILURE_SHUTDOWN	Sunucu henüz açilmadi.
LOGIN_FAILURE_TOO_MANY_USER	Çok fazla oyuncu oldugu için baglanamadiniz.
LOGIN_FAILURE_UNKNOWN	Bilinmeyen nedenlerle giris yapamadiniz.
LOGIN_FAILURE_WEB_BLOCK	Web sitesinde engellendiniz. Lütfen emailinizi kontrol edin.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Yanlis numara girdiniz.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Üç kez yanlis numara girdiniz. Baglantiniz sonlandirilacak.
LOGIN_FAILURE_WRONG_PASSWORD	Hesap Adi veya sifresi yanlis.
LOGIN_INPUT_ID	Kimligi girin.
LOGIN_INPUT_PASSWORD	Sifreyi gir.
LOGIN_PROCESSING	Kayit islemi devam ediyor ...
MALL_CANNOT_INSERT	Ögeyi yerlestiremezsiniz.
MALL_PASSWORD_TITLE	parola
MAP_A1	Yongan bölgesi
MAP_A2	Seungryong Vadisi
MAP_A3	Jayang alani
MAP_AG	Genç rütbe
MAP_B1	Alan Joan
MAP_B2	Imji Vadisi
MAP_B3	Bokjung bölgesi
MAP_BAY	Nephrite Körfezi
MAP_BG	Waryong
MAP_C1	Pyungmoo alani
MAP_C2	Bangsan Vadisi
MAP_C3	Bakra alani
MAP_CAPE	Ejderha Atesi Burnu
MAP_CG	Imha
MAP_DAWN	Gautamakliff
MAP_DESERT	Yongbi çölü
MAP_FLAME	ates diyari
MAP_NUSLUCK	Ülke d. Devler
MAP_SKELTOWER	Gumsan Kulesi
MAP_SNOW	Buz diyari
MAP_SPIDER	Kuahlo Dong
MAP_TEMPLE	Hwang Tapinagi
MAP_THUNDER	Thunder Daglari
MAP_TREE	Lungsam
MAP_TRENT02	Kirmizi ahsap
MAP_WL	Yilan alani
MESSENGER_ADD_FRIEND	Arkadas Ekle
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s seni arkadas olarak aldim.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Kabul etmek?
MESSENGER_DO_YOU_DELETE	Açik?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Cep telefonu numarasini silmek istiyor musunuz?
MESSENGER_DO_YOU_MOVE	Devam etmek istiyor musun
MESSENGER_EMPTY_LIST	Bos
MESSENGER_FAMILY	aile
MESSENGER_FRIEND	Arkadaslar
MESSENGER_GUILD	lonca
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Onay numarasini girin cep telefonunuza gönderildi.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Onay No. giris
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Cep telefonu numarasini girin SMS göndermek için.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Numarayi simdi girmek istiyor musunuz?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Cep telefonu numarasini girin
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Mesaj gönder.
MINIMAP	Mini haritayi aç
MINIMAP_CANNOT_SEE	Mini harita görüntülenemiyor.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Genel bakis haritasi görüntülenemiyor.
MINIMAP_DEC_SCALE	Uzaklastirmak
MINIMAP_INC_SCALE	Yakinlastir
MINIMAP_OBSERVER_COUNT	%d seyirci
MINIMAP_SHOW_AREAMAP	Genel bakis haritasini aç
MINUTE	dakika
MONETARY_UNIT0	Yang
MONETARY_UNIT1	on bin
MONETARY_UNIT2	yüz milyon
MONEY_INPUT_DIALOG_SELLPRICE	Satis fiyati:
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Özel bir magazaniz açikken ögeleri tasiyamazsiniz.
MUSIC_EMPTY_MUSIC_LIST	Fon müzigi yok.
MUSIC_METIN2_DEFAULT_THEMA	Metin2 standart müzik
MUSIC_NOT_SELECT_MUSIC	Müzik dosyasi seçilmedi.
NEEFD_REST	Önce dinlenmelisin.
NOT_YET_SUPPORT	Desteklenmiyor.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Klan üyesi degilseniz klan modunu etkinlestiremezsiniz.
OPTION_PVPMODE_NOT_SUPPORT	PvP modu yapilandirmasini kullanamazsiniz.
OPTION_PVPMODE_PROTECT	En az seviyeye sahip olmalisin %d PvP modunu degistirmek için ulasti.
PARTY_BONUS_ATTACKER	Saldiri degeri: +%d	SA
PARTY_BONUS_BERSERKER	Atak hizi: +%d	SA
PARTY_BONUS_BUFFER	Beceri Süresi: +%d	SA
PARTY_BONUS_DEFENDER	savunma: +%d	SA
PARTY_BONUS_EXP	Bonus-EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Max. SP: +%d	SA
PARTY_BONUS_TANKER	Max. HP: +%d	SA
PARTY_BREAK_UP	Grubu çöz
PARTY_DO_YOU_ACCEPT	 gruba katilmak istiyorum.
PARTY_DO_YOU_JOIN	 sizi grubuna davet etti. Kabul etmek?
PARTY_EXP_DISTRIBUTION_MODE	EXP dagilimi
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	seviyeye bagli
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Daha yüksek seviyedeki grup üyeleri daha fazla EXP kazanir.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	esit olarak
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Tüm grup üyeleri ayni miktarda EXP alir.
PARTY_HEAL_ALL_MEMBER	Her seyi geri yükle
PARTY_INCREASE_AREA_150	Grubun menzili 1.5 kat artti.	SNA
PARTY_INCREASE_AREA_200	Grubun araligi 2 kat artti.	SNA
PARTY_LEAVE	gruptan ayril
PARTY_LONGTIME_BONUS_EXP	Uzun grup oyunu için bonus EXP: +%d%%	SA
PARTY_MEMBER_OFFLINE	[Çevrimdisi]
PARTY_RECALL_MEMBER	Grup üyesini arayin.
PARTY_REGEN_BONUS	HP + SP yenilenmesi için bonus: +%d%%	SA
PARTY_REQUEST_DENIED	Talebiniz reddedildi.
PARTY_SET_ATTACKER	Saldirgan olarak ayarlayin.
PARTY_SET_BERSERKER	Çilgina çevirin.
PARTY_SET_BUFFER	Engelleyici olarak ayarlayin.
PARTY_SET_DEFENDER	Savunmaci olarak ayarlayin.
PARTY_SET_NORMAL	Ayari iptal edin.
PARTY_SET_SKILL_MASTER	Becerilerin ustasi olarak ayarlayin.
PARTY_SET_TANKER	Yakin dövüs olarak ayarlayin.
PARTY_SKILL_ATTACKER	Temel saldiri degeri saldirgan +%,0f
PARTY_SKILL_BERSERKER	Saldiri hizi çilginligi +%,0f
PARTY_SKILL_BUFFER	Beceri Süresi Engelleyici +%,0f
PARTY_SKILL_DEFENDER	Savunma savunucusu +%,0f
PARTY_SKILL_HP_REGEN	HP yenilenmesi +%,0f%%
PARTY_SKILL_PARTY_AREA	Grup araligi +%d%%
PARTY_SKILL_SKILL_MASTER	Maks SP Beceri Ustasi +%,0f
PARTY_SKILL_SP_REGEN	SP yenilenmesi +%,0f%%
PARTY_SKILL_TANKER	Maksimum yakin dövüs HP +%,0f
PARTY_SKILL_WARP	Grup üyelerini çagirabilir.
PASSWORD_TITLE	Depo sifresi
PICK_ITEM_TITLE	Esya yok.
PICK_MONEY_TITLE	Miktar
PRIVATE_SHOP_CANNOT_SELL_ITEM	Bu esyayi özel bir dükkanda satamazsiniz.
PRIVATE_SHOP_CLOSE_QUESTION	Özel dükkani kapatmak ister misin?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Özel magaza adi
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	fiyat
PVP_LEVEL0	Sövalye
PVP_LEVEL1	Asil
PVP_LEVEL2	Iyi
PVP_LEVEL3	arkadas canlisi
PVP_LEVEL4	Nötr
PVP_LEVEL5	Agresif
PVP_LEVEL6	Kötü niyetli
PVP_LEVEL7	Kisir
PVP_LEVEL8	Korkunç
PVP_MODE_GUILD	PvP - Lonca etkinlestirildi
PVP_MODE_KILL	PvP - Serbestçe etkinlestirildi
PVP_MODE_NORMAL	PvP - Aktif baris
PVP_MODE_PROTECT	PvP - Koruma etkinlestirildi
PVP_MODE_REVENGE	PvP - Düsman etkinlestirildi
PVP_OPTION_KILL	Bedava
PVP_OPTION_NORMAL	Baris
PVP_OPTION_PROTECT	koruma
PVP_OPTION_REVENGE	Hasim
QUEST_APPEND	Yeni siparis girildi.
QUEST_MIN	Min.
QUEST_SEC	Sek.
QUEST_TIMEOVER	süre doldu
QUEST_UNLIMITED_TIME	Zaman siniri yok
QUEST_ZEROSEC	0 Sek.
QUICKSLOT_REGISTER_DISABLE_ITEM	Bu öge hizli erisim paneline eklenemez.
RECEIVE_MESSAGE	%s sana bir mesaj gönderdi.
REFINE_COST	Verbesserungskosten: %d Yang
REFINE_DESTROY_WARNING	Ürün, rafine edilirken yok edilebilir.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Bu, iyilestirme olasiligini artirir
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	basarisiz olursa, öge yok edilir.
REFINE_DOWN_GRADE_WARNING	Ürün rafine edildiginde daha da kötülesebilir.
REFINE_DO_YOU_SEPARATE_METIN	Mevcut tüm Ruh Taslari kaldirilsin mi?
REFINE_FAILURE	Peki, ise yaramadi! Basaramadik.
REFINE_FAILURE_CAN_NOT_ATTACH	%s bu ögeye eklenemez.
REFINE_FAILURE_EQUIP_ITEM	Donanimli ögeleri yükseltemezsiniz.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Hiçbir ruh tasi çikarilamaz.
REFINE_FAILURE_NEED_BETTER_SCROLL	Daha iyi bir iyilestirme parsömenine ihtiyaciniz var.
REFINE_FAILURE_NO_GOLD_SOCKET	Etrafta altin versiyon yok %s eklemek.
REFINE_FAILURE_NO_MORE_SOCKET	Daha fazla çerçeve ekleyemezsiniz.
REFINE_FAILURE_NO_SOCKET0	Bunun için ücretsiz bir sürüm yok %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Bu ögeye yuva eklenemez.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Bu öge yükseltilemez.
REFINE_SUCCESS	Öge yükseltmesi basarili oldu.
REFINE_SUCCESS_PROBALITY	Iyilestirme sansi: %d%%
REFINE_WARNING2	Devam etmek istiyor musun
SAFEBOX_ERROR	Yanlis sifre girdiniz.
